cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46137V54,10.81,10.52,2009-01-02,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.85,10.97,2009-01-05,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.06,10.89,2009-01-06,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.76,11.1,2009-01-07,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.93,10.82,2009-01-08,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.72,10.88,2009-01-09,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.38,10.66,2009-01-12,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.25,10.21,2009-01-13,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.74,10.15,2009-01-14,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.78,9.74,2009-01-15,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.77,10.03,2009-01-16,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.69,9.22,2009-01-20,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.0,8.74,2009-01-21,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.75,8.94,2009-01-22,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.77,8.5,2009-01-23,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.1,8.99,2009-01-26,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.31,9.17,2009-01-27,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.8,9.69,2009-01-28,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.24,9.5,2009-01-29,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.04,9.35,2009-01-30,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.97,8.91,2009-02-02,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.16,9.02,2009-02-03,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.12,9.23,2009-02-04,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.25,9.1,2009-02-05,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.59,9.34,2009-02-06,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.65,9.69,2009-02-09,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.13,9.67,2009-02-10,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.17,9.29,2009-02-11,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.17,8.95,2009-02-12,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.09,9.2,2009-02-13,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.45,8.71,2009-02-17,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.41,8.47,2009-02-18,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.36,8.61,2009-02-19,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.21,8.17,2009-02-20,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.89,8.31,2009-02-23,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.32,7.82,2009-02-24,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.17,8.25,2009-02-25,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.29,8.2,2009-02-26,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.15,8.18,2009-02-27,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.57,7.96,2009-03-02,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.54,7.59,2009-03-03,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.84,7.67,2009-03-04,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.45,7.62,2009-03-05,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.44,7.42,2009-03-06,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.21,7.28,2009-03-09,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.87,7.23,2009-03-10,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,7.8701,8.08,2009-03-11,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.16,7.57,2009-03-12,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.2,8.28,2009-03-13,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.3004,8.28,2009-03-16,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.64,8.2,2009-03-17,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.85,8.64,2009-03-18,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.82,8.98,2009-03-19,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.68,8.96,2009-03-20,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.37,9.04,2009-03-23,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.05,9.17,2009-03-24,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.19,9.15,2009-03-25,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.2872,9.35,2009-03-26,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.02,9.22,2009-03-27,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.5899,8.88,2009-03-30,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,8.82,8.82,2009-03-31,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.07,8.86,2009-04-01,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.46,9.36,2009-04-02,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.66,9.58,2009-04-03,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.51,9.45,2009-04-06,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.31,9.26,2009-04-07,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.4,9.29,2009-04-08,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.731,9.64,2009-04-09,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.93,9.67,2009-04-13,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.74,9.92,2009-04-14,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.9,9.67,2009-04-15,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.0,9.9,2009-04-16,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.03,9.9,2009-04-17,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.48,9.81,2009-04-20,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.71,9.49,2009-04-21,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.5878,9.5,2009-04-22,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.91,9.75,2009-04-23,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.0,9.86,2009-04-24,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.79,9.83,2009-04-27,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,9.74,9.66,2009-04-28,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.05,9.71,2009-04-29,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.13,10.22,2009-04-30,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.27,10.24,2009-05-01,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.7299,10.44,2009-05-04,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.76,10.64,2009-05-05,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.97,10.76,2009-05-06,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.8395,11.84,2009-05-07,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.28,11.08,2009-05-08,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.07,11.09,2009-05-11,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.04,10.98,2009-05-12,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.55,11.01,2009-05-13,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.86,10.48,2009-05-14,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,10.71,10.93,2009-05-15,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.08,10.82,2009-05-18,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.17,11.03,2009-05-19,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.18,11.15,2009-05-20,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.0,10.97,2009-05-21,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.08,11.17,2009-05-22,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.39,10.99,2009-05-26,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.24,11.49,2009-05-27,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.42,11.46,2009-05-28,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.7,11.59,2009-05-29,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.942,12.0,2009-06-01,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,12.09,11.82,2009-06-02,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.64,12.08,2009-06-03,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.74,11.73,2009-06-04,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.75,12.05,2009-06-05,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.75,11.56,2009-06-08,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.79,11.85,2009-06-09,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.86,12.09,2009-06-10,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,12.12,11.99,2009-06-11,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,12.02,12.13,2009-06-12,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.6798,11.8,2009-06-15,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.45,11.64,2009-06-16,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.43,11.54,2009-06-17,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.5,11.55,2009-06-18,,PID,INVESCO E T F TRUST,6726.0,505.0
46137V54,11.6,11.61,2009-06-19,,PID,INVESCO E T F TRUST,6726.0,505.0
