cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
74151110,20.82,20.71,2009-01-02,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.49,20.95,2009-01-05,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.76,19.78,2009-01-06,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.87,19.17,2009-01-07,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.86,19.55,2009-01-08,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.67,19.92,2009-01-09,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.8,18.69,2009-01-12,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.01,17.64,2009-01-13,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.26,16.62,2009-01-14,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.63,16.26,2009-01-15,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.54,17.84,2009-01-16,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.85,17.14,2009-01-20,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.81,16.09,2009-01-21,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.86,15.15,2009-01-22,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.12,15.45,2009-01-23,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.1,16.01,2009-01-26,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.34,16.06,2009-01-27,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.56,16.55,2009-01-28,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.58,17.34,2009-01-29,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.3,16.76,2009-01-30,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.35,16.08,2009-02-02,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.33,17.49,2009-02-03,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.75,17.28,2009-02-04,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.1,16.64,2009-02-05,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.2,17.49,2009-02-06,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.32,19.04,2009-02-09,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.86,18.22,2009-02-10,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.05,17.82,2009-02-11,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.43,17.72,2009-02-12,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.52,18.51,2009-02-13,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.73,17.85,2009-02-17,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.69,17.88,2009-02-18,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.2,17.9,2009-02-19,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.14,16.89,2009-02-20,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.3,17.25,2009-02-23,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.59,16.56,2009-02-24,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.77,17.46,2009-02-25,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.47,16.92,2009-02-26,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.72,16.15,2009-02-27,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.51,16.31,2009-03-02,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.98,16.95,2009-03-03,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.33,16.32,2009-03-04,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.97,15.86,2009-03-05,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.05,16.14,2009-03-06,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.5,15.87,2009-03-09,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.24,15.99,2009-03-10,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.07,16.36,2009-03-11,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.56,15.92,2009-03-12,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.25,16.66,2009-03-13,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.26,17.38,2009-03-16,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.08,18.28,2009-03-17,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.87,18.02,2009-03-18,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.18,19.04,2009-03-19,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.72,18.4,2009-03-20,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.58,18.28,2009-03-23,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.96,19.0,2009-03-24,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.23,18.11,2009-03-25,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.27,18.37,2009-03-26,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.63,17.86,2009-03-27,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.17,17.13,2009-03-30,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.01,18.42,2009-03-31,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.53,17.62,2009-04-01,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.88,19.0,2009-04-02,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.84,19.87,2009-04-03,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.27,19.39,2009-04-06,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.46,18.96,2009-04-07,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.21,19.15,2009-04-08,PSMT,PRICESMART INC,5900.0,220.0
74151110,20.24,19.68,2009-04-09,PSMT,PRICESMART INC,5900.0,220.0
74151110,20.03,19.97,2009-04-13,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.52,19.81,2009-04-14,PSMT,PRICESMART INC,5900.0,220.0
74151110,20.37,19.4,2009-04-15,PSMT,PRICESMART INC,5900.0,220.0
74151110,20.94,20.57,2009-04-16,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.95,20.96,2009-04-17,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.88,19.7,2009-04-20,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.85,18.83,2009-04-21,PSMT,PRICESMART INC,5900.0,220.0
74151110,19.2,19.4,2009-04-22,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.45,19.27,2009-04-23,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.88,18.65,2009-04-24,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.1,17.5,2009-04-27,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.48,17.0,2009-04-28,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.31,17.73,2009-04-29,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.85,17.63,2009-04-30,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.53,17.75,2009-05-01,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.9401,17.7,2009-05-04,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.89,17.8,2009-05-05,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.58,18.0,2009-05-06,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.05,17.65,2009-05-07,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.92,17.35,2009-05-08,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.63,16.8,2009-05-11,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.42,16.72,2009-05-12,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.72,15.82,2009-05-13,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.07,15.93,2009-05-14,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.69,16.0,2009-05-15,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.15,15.94,2009-05-18,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.03,16.19,2009-05-19,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.17,16.22,2009-05-20,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.94,15.97,2009-05-21,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.75,16.1,2009-05-22,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.48,15.49,2009-05-26,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.57,16.4,2009-05-27,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.69,16.85,2009-05-28,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.67,16.8,2009-05-29,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.08,17.1,2009-06-01,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.39,17.93,2009-06-02,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.15,18.27,2009-06-03,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.25,18.36,2009-06-04,PSMT,PRICESMART INC,5900.0,220.0
74151110,18.03,18.5,2009-06-05,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.83,18.1,2009-06-08,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.5,17.97,2009-06-09,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.11,17.74,2009-06-10,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.33,17.29,2009-06-11,PSMT,PRICESMART INC,5900.0,220.0
74151110,17.51,17.22,2009-06-12,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.54,17.13,2009-06-15,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.12,16.77,2009-06-16,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.17,16.24,2009-06-17,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.23,16.21,2009-06-18,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.18,16.47,2009-06-19,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.72,16.04,2009-06-22,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.9,15.9,2009-06-23,PSMT,PRICESMART INC,5900.0,220.0
74151110,15.79,16.11,2009-06-24,PSMT,PRICESMART INC,5900.0,220.0
74151110,16.25,15.7,2009-06-25,PSMT,PRICESMART INC,5900.0,220.0
