cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
72941H50,3.6,3.69,2009-01-02,277,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.67,3.65,2009-01-05,353,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.88,3.77,2009-01-06,400,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.57,3.82,2009-01-07,312,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.79,3.55,2009-01-08,263,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.34,3.79,2009-01-09,355,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.43,3.61,2009-01-12,556,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.47,3.4,2009-01-13,430,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.19,3.42,2009-01-14,219,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.32,3.17,2009-01-15,338,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.29,3.35,2009-01-16,539,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.97,3.34,2009-01-20,640,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.29,3.05,2009-01-21,566,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.2,3.21,2009-01-22,305,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.38,3.13,2009-01-23,1237,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.76,3.39,2009-01-26,718,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.24,3.78,2009-01-27,1924,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.28,4.57,2009-01-28,958,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.8,4.25,2009-01-29,1541,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.92,5.05,2009-01-30,1576,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.5,5.0,2009-02-02,1948,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.3,4.5,2009-02-03,1132,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.1,4.24,2009-02-04,758,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.22,4.14,2009-02-05,767,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.4,4.28,2009-02-06,837,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.16,4.33,2009-02-09,504,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.91,4.12,2009-02-10,478,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.95,3.92,2009-02-11,263,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.95,3.94,2009-02-12,467,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.85,3.94,2009-02-13,247,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,4.05,3.76,2009-02-17,4462,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.95,4.1,2009-02-18,967,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.77,3.98,2009-02-19,520,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.33,3.72,2009-02-20,1089,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.1,3.23,2009-02-23,865,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.22,3.08,2009-02-24,756,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.06,3.37,2009-02-25,663,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,3.03,3.11,2009-02-26,943,29303.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.76,2.98,2009-02-27,669,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.4,2.76,2009-03-02,798,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.07,2.4,2009-03-03,1328,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.37,2.16,2009-03-04,1048,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.17,2.28,2009-03-05,889,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.31,2.4,2009-03-06,735,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,2.59,3.29,2009-03-09,2868,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.96,2.1,2009-03-10,5537,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.89,2.1,2009-03-11,2662,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.9,1.95,2009-03-12,2072,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.88,1.95,2009-03-13,1560,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.82,1.96,2009-03-16,1747,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.84,1.8,2009-03-17,1459,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
72941H50,1.86,1.7,2009-03-18,2040,29313.0,PSTV,PLUS THERAPEUTICS INC,3841.0
