cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
46090E10,31.03,29.77,2009-01-02,175557,415700.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,31.02,30.82,2009-01-05,175881,415100.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,31.33,31.28,2009-01-06,242663,401050.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.44,30.81,2009-01-07,213784,406800.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.76,30.34,2009-01-08,203727,410700.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.07,30.79,2009-01-09,200819,412750.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.52,30.12,2009-01-12,160962,409400.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.53,29.52,2009-01-13,280563,414750.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,28.63,29.17,2009-01-14,232187,405050.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.099,28.55,2009-01-15,314761,399550.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.42,29.53,2009-01-16,268400,400150.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,27.96,29.29,2009-01-20,240997,387350.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.15,28.43,2009-01-21,284172,395650.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,28.76,28.52,2009-01-22,357447,400700.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,28.9,28.31,2009-01-23,302904,400350.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.11,28.96,2009-01-26,244629,401250.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.32,29.14,2009-01-27,229413,400000.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.35,29.83,2009-01-28,264410,400750.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.58,29.97,2009-01-29,208019,400750.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.06,29.82,2009-01-30,239084,398600.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.41,28.77,2009-02-02,222905,392300.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.87,29.46,2009-02-03,211774,393050.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,29.91,29.93,2009-02-04,260331,395700.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.57,29.47,2009-02-05,364091,387100.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,31.37,30.71,2009-02-06,282692,385600.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,31.5,31.39,2009-02-09,185390,397050.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.34,31.3,2009-02-10,397681,404550.0,QQQ,INVESCO QQQ TRUST,6726.0
46090E10,30.2,30.34,2009-02-11,274719,391800.0,QQQ,INVESCO QQQ TRUST,6726.0
