cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
75049110,3.65,3.35,2009-01-02,1291,RDNT,RADNET INC,8071.0,159.0
75049110,3.8,3.6,2009-01-05,1495,RDNT,RADNET INC,8071.0,159.0
75049110,3.81,3.8,2009-01-06,1420,RDNT,RADNET INC,8071.0,159.0
75049110,3.73,3.75,2009-01-07,1174,RDNT,RADNET INC,8071.0,159.0
75049110,3.67,3.66,2009-01-08,1341,RDNT,RADNET INC,8071.0,159.0
75049110,3.55,3.67,2009-01-09,1011,RDNT,RADNET INC,8071.0,159.0
75049110,3.41,3.55,2009-01-12,769,RDNT,RADNET INC,8071.0,159.0
75049110,3.47,3.4,2009-01-13,769,RDNT,RADNET INC,8071.0,159.0
75049110,3.37,3.4,2009-01-14,858,RDNT,RADNET INC,8071.0,159.0
75049110,3.37,3.37,2009-01-15,606,RDNT,RADNET INC,8071.0,159.0
75049110,3.27,3.36,2009-01-16,641,RDNT,RADNET INC,8071.0,159.0
75049110,2.96,3.27,2009-01-20,449,RDNT,RADNET INC,8071.0,159.0
75049110,3.05,3.08,2009-01-21,581,RDNT,RADNET INC,8071.0,159.0
75049110,2.99,3.03,2009-01-22,417,RDNT,RADNET INC,8071.0,159.0
75049110,3.0,2.88,2009-01-23,588,RDNT,RADNET INC,8071.0,159.0
75049110,2.84,3.01,2009-01-26,1384,RDNT,RADNET INC,8071.0,159.0
75049110,3.28,2.81,2009-01-27,679,RDNT,RADNET INC,8071.0,159.0
75049110,3.41,3.31,2009-01-28,611,RDNT,RADNET INC,8071.0,159.0
75049110,3.36,3.38,2009-01-29,554,RDNT,RADNET INC,8071.0,159.0
75049110,3.2,3.41,2009-01-30,711,RDNT,RADNET INC,8071.0,159.0
75049110,3.18,3.14,2009-02-02,812,RDNT,RADNET INC,8071.0,159.0
75049110,3.25,3.22,2009-02-03,641,RDNT,RADNET INC,8071.0,159.0
75049110,3.06,3.24,2009-02-04,389,RDNT,RADNET INC,8071.0,159.0
75049110,3.16,3.05,2009-02-05,595,RDNT,RADNET INC,8071.0,159.0
75049110,3.16,3.16,2009-02-06,596,RDNT,RADNET INC,8071.0,159.0
75049110,3.13,3.1,2009-02-09,410,RDNT,RADNET INC,8071.0,159.0
75049110,2.98,3.1,2009-02-10,489,RDNT,RADNET INC,8071.0,159.0
75049110,3.01,2.99,2009-02-11,587,RDNT,RADNET INC,8071.0,159.0
75049110,3.0,2.96,2009-02-12,568,RDNT,RADNET INC,8071.0,159.0
75049110,2.98,3.0,2009-02-13,533,RDNT,RADNET INC,8071.0,159.0
75049110,2.88,2.95,2009-02-17,265,RDNT,RADNET INC,8071.0,159.0
75049110,2.89,2.9,2009-02-18,319,RDNT,RADNET INC,8071.0,159.0
