cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
86415910,6.27,6.05,2009-01-02,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.31,6.23,2009-01-05,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.45,6.31,2009-01-06,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.65,6.39,2009-01-07,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.66,6.65,2009-01-08,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.49,6.7,2009-01-09,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.33,6.36,2009-01-12,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.17,6.24,2009-01-13,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.06,6.01,2009-01-14,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.22,6.03,2009-01-15,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.23,6.29,2009-01-16,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.02,6.25,2009-01-20,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.27,6.1,2009-01-21,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.6,6.17,2009-01-22,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.62,6.55,2009-01-23,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.73,6.71,2009-01-26,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.63,6.66,2009-01-27,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.74,6.74,2009-01-28,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.37,6.64,2009-01-29,,19459.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.61,6.4,2009-01-30,,19100.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.37,6.6,2009-02-02,,19100.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.46,6.38,2009-02-03,,19100.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.66,6.49,2009-02-04,,19100.0,RGR,STURM RUGER & CO INC,3484.0
86415910,6.6,6.63,2009-02-05,,19100.0,RGR,STURM RUGER & CO INC,3484.0
