cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
74960710,60.59,61.42,2009-01-02,,21414.0,RLI,R L I CORP,6331.0
74960710,61.17,60.75,2009-01-05,,21414.0,RLI,R L I CORP,6331.0
74960710,60.27,61.57,2009-01-06,,21414.0,RLI,R L I CORP,6331.0
74960710,59.15,58.99,2009-01-07,,21414.0,RLI,R L I CORP,6331.0
74960710,59.17,58.85,2009-01-08,,21414.0,RLI,R L I CORP,6331.0
74960710,57.71,59.39,2009-01-09,,21414.0,RLI,R L I CORP,6331.0
74960710,56.37,57.29,2009-01-12,,21414.0,RLI,R L I CORP,6331.0
74960710,56.68,55.92,2009-01-13,,21414.0,RLI,R L I CORP,6331.0
74960710,55.73,55.22,2009-01-14,,21414.0,RLI,R L I CORP,6331.0
74960710,55.39,55.85,2009-01-15,,21414.0,RLI,R L I CORP,6331.0
74960710,56.81,55.95,2009-01-16,,21414.0,RLI,R L I CORP,6331.0
74960710,53.9,55.88,2009-01-20,,21414.0,RLI,R L I CORP,6331.0
74960710,56.8,54.54,2009-01-21,,21414.0,RLI,R L I CORP,6331.0
74960710,54.96,55.77,2009-01-22,,21414.0,RLI,R L I CORP,6331.0
74960710,54.48,53.7,2009-01-23,,21414.0,RLI,R L I CORP,6331.0
74960710,54.67,54.48,2009-01-26,,21414.0,RLI,R L I CORP,6331.0
74960710,55.53,56.46,2009-01-27,,21414.0,RLI,R L I CORP,6331.0
74960710,57.97,56.0,2009-01-28,,21414.0,RLI,R L I CORP,6331.0
74960710,56.05,57.45,2009-01-29,,21414.0,RLI,R L I CORP,6331.0
74960710,56.49,56.2,2009-01-30,,21474.0,RLI,R L I CORP,6331.0
74960710,56.89,55.99,2009-02-02,,21474.0,RLI,R L I CORP,6331.0
74960710,57.15,57.54,2009-02-03,,21474.0,RLI,R L I CORP,6331.0
74960710,55.66,57.33,2009-02-04,,21474.0,RLI,R L I CORP,6331.0
74960710,55.6,55.4,2009-02-05,,21474.0,RLI,R L I CORP,6331.0
74960710,57.04,55.37,2009-02-06,,21474.0,RLI,R L I CORP,6331.0
74960710,57.0,56.97,2009-02-09,,21474.0,RLI,R L I CORP,6331.0
74960710,54.8,56.78,2009-02-10,,21474.0,RLI,R L I CORP,6331.0
74960710,56.66,54.98,2009-02-11,,21474.0,RLI,R L I CORP,6331.0
74960710,57.26,55.87,2009-02-12,,21474.0,RLI,R L I CORP,6331.0
74960710,55.56,56.82,2009-02-13,,21474.0,RLI,R L I CORP,6331.0
74960710,53.76,54.01,2009-02-17,,21474.0,RLI,R L I CORP,6331.0
74960710,52.93,54.45,2009-02-18,,21474.0,RLI,R L I CORP,6331.0
74960710,52.14,53.35,2009-02-19,,21474.0,RLI,R L I CORP,6331.0
74960710,51.72,51.4,2009-02-20,,21474.0,RLI,R L I CORP,6331.0
74960710,49.38,52.14,2009-02-23,,21474.0,RLI,R L I CORP,6331.0
74960710,50.68,49.96,2009-02-24,,21474.0,RLI,R L I CORP,6331.0
74960710,49.37,50.16,2009-02-25,,21474.0,RLI,R L I CORP,6331.0
74960710,49.18,49.69,2009-02-26,,21474.0,RLI,R L I CORP,6331.0
74960710,48.98,48.51,2009-02-27,,21494.0,RLI,R L I CORP,6331.0
74960710,47.81,48.28,2009-03-02,,21494.0,RLI,R L I CORP,6331.0
74960710,46.78,48.44,2009-03-03,,21494.0,RLI,R L I CORP,6331.0
74960710,47.12,47.55,2009-03-04,,21494.0,RLI,R L I CORP,6331.0
74960710,43.29,46.07,2009-03-05,,21494.0,RLI,R L I CORP,6331.0
