cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
37468910,12.12,12.0,2009-01-02,1671,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.89,12.33,2009-01-05,2247,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,12.56,12.03,2009-01-06,2249,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.75,12.37,2009-01-07,1417,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,12.31,11.65,2009-01-08,1278,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.9,12.41,2009-01-09,2169,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.14,11.93,2009-01-12,1922,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.68,11.12,2009-01-13,1872,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.67,11.28,2009-01-14,2521,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.21,10.76,2009-01-15,866,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.39,11.35,2009-01-16,1376,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.13,11.14,2009-01-20,1367,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.29,10.36,2009-01-21,1872,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.61,10.94,2009-01-22,1316,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.6,10.46,2009-01-23,1524,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.64,10.59,2009-01-26,1243,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.99,10.72,2009-01-27,1285,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.16,11.21,2009-01-28,2331,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.21,11.01,2009-01-29,1912,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.23,10.45,2009-01-30,2192,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.39,10.01,2009-02-02,2010,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.53,10.55,2009-02-03,2040,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.86,10.56,2009-02-04,1606,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,10.55,10.78,2009-02-05,2441,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
37468910,11.23,10.57,2009-02-06,2429,ROCK,GIBRALTAR INDUSTRIES INC,3310.0,226.0
