cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
80105610,0.5,0.48,2009-01-02,2974,SANM,SANMINA CORP,3672.0,250.0
80105610,0.46,0.47,2009-01-05,8797,SANM,SANMINA CORP,3672.0,250.0
80105610,0.485,0.47,2009-01-06,6474,SANM,SANMINA CORP,3672.0,250.0
80105610,0.47,0.47,2009-01-07,6707,SANM,SANMINA CORP,3672.0,250.0
80105610,0.4997,0.47,2009-01-08,3454,SANM,SANMINA CORP,3672.0,250.0
80105610,0.48,0.5,2009-01-09,3956,SANM,SANMINA CORP,3672.0,250.0
80105610,0.45,0.51,2009-01-12,2629,SANM,SANMINA CORP,3672.0,250.0
80105610,0.42,0.46,2009-01-13,3210,SANM,SANMINA CORP,3672.0,250.0
80105610,0.38,0.414,2009-01-14,3699,SANM,SANMINA CORP,3672.0,250.0
80105610,0.38,0.36,2009-01-15,4354,SANM,SANMINA CORP,3672.0,250.0
80105610,0.38,0.38,2009-01-16,2810,SANM,SANMINA CORP,3672.0,250.0
80105610,0.3902,0.36,2009-01-20,4434,SANM,SANMINA CORP,3672.0,250.0
80105610,0.38,0.39,2009-01-21,7013,SANM,SANMINA CORP,3672.0,250.0
80105610,0.32,0.36,2009-01-22,5595,SANM,SANMINA CORP,3672.0,250.0
80105610,0.33,0.32,2009-01-23,4571,SANM,SANMINA CORP,3672.0,250.0
80105610,0.35,0.33,2009-01-26,5681,SANM,SANMINA CORP,3672.0,250.0
80105610,0.34,0.35,2009-01-27,7708,SANM,SANMINA CORP,3672.0,250.0
80105610,0.37,0.3537,2009-01-28,5055,SANM,SANMINA CORP,3672.0,250.0
80105610,0.365,0.37,2009-01-29,4874,SANM,SANMINA CORP,3672.0,250.0
80105610,0.33,0.365,2009-01-30,5959,SANM,SANMINA CORP,3672.0,250.0
80105610,0.32,0.329,2009-02-02,7509,SANM,SANMINA CORP,3672.0,250.0
80105610,0.34,0.344,2009-02-03,7231,SANM,SANMINA CORP,3672.0,250.0
80105610,0.316,0.35,2009-02-04,4953,SANM,SANMINA CORP,3672.0,250.0
80105610,0.31,0.32,2009-02-05,5979,SANM,SANMINA CORP,3672.0,250.0
80105610,0.36,0.32,2009-02-06,8639,SANM,SANMINA CORP,3672.0,250.0
80105610,0.35,0.37,2009-02-09,4569,SANM,SANMINA CORP,3672.0,250.0
80105610,0.33,0.35,2009-02-10,4059,SANM,SANMINA CORP,3672.0,250.0
80105610,0.3177,0.3292,2009-02-11,4002,SANM,SANMINA CORP,3672.0,250.0
80105610,0.32,0.315,2009-02-12,4559,SANM,SANMINA CORP,3672.0,250.0
80105610,0.33,0.3254,2009-02-13,4197,SANM,SANMINA CORP,3672.0,250.0
80105610,0.3,0.335,2009-02-17,5733,SANM,SANMINA CORP,3672.0,250.0
80105610,0.3,0.3,2009-02-18,6182,SANM,SANMINA CORP,3672.0,250.0
