cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
88583P10,,,2009-01-02,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-05,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-06,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-07,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-08,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-09,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-12,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-13,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-14,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-15,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-16,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-20,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-21,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-22,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-23,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-26,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-27,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-28,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-29,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-01-30,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-02,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-03,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-04,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-05,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-06,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-09,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-10,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-11,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-12,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-13,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-17,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-18,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-19,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-20,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-23,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-24,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-25,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-26,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-02-27,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-03-02,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-03-03,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-03-04,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-03-05,,7423.0,SCWO,374WATER INC,2830.0
88583P10,,,2009-03-06,,7423.0,SCWO,374WATER INC,2830.0
