cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
82617610,-1.83,,2009-01-02,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.75,,2009-01-05,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.88,1.87,2009-01-06,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.79,,2009-01-07,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8,1.61,2009-01-08,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.97,1.655,2009-01-09,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.79,,2009-01-12,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.88,1.88,2009-01-13,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.65,1.65,2009-01-14,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,2.0,1.71,2009-01-15,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.865,,2009-01-16,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.86,,2009-01-20,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8,1.65,2009-01-21,6,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.8,,2009-01-22,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.7,,2009-01-23,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8,1.8,2009-01-26,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.67,1.67,2009-01-27,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.8,,2009-01-28,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.8,,2009-01-29,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.53,1.63,2009-01-30,13,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.56,1.55,2009-02-02,15,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.75,,2009-02-03,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.75,,2009-02-04,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.75,,2009-02-05,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.75,,2009-02-06,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.56,1.56,2009-02-09,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.725,,2009-02-10,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.896,1.594,2009-02-11,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.745,,2009-02-12,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5,1.55,2009-02-13,7,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.745,,2009-02-17,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.73,,2009-02-18,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5201,1.5201,2009-02-19,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.71,1.56,2009-02-20,12,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.775,,2009-02-23,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.6,1.6,2009-02-24,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.61,1.61,2009-02-25,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.735,,2009-02-26,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8401,1.835,2009-02-27,7,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5,1.53,2009-03-02,8,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.685,,2009-03-03,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.56,1.5601,2009-03-04,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.38,1.56,2009-03-05,11,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.27,1.38,2009-03-06,9,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.28,1.28,2009-03-09,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.4,1.48,2009-03-10,14,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.7,1.37,2009-03-11,11,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.6844,1.646,2009-03-12,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.3301,1.33,2009-03-13,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.54,1.33,2009-03-16,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.39,1.648,2009-03-17,14,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.41,1.41,2009-03-18,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.38,1.42,2009-03-19,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.36,1.36,2009-03-20,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.4664,1.43,2009-03-23,7,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.57,,2009-03-24,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.57,,2009-03-25,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5189,1.5189,2009-03-26,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.55,,2009-03-27,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.46,,2009-03-30,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.3301,1.4799,2009-03-31,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.51,,2009-04-01,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.45,1.3,2009-04-02,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.75,1.69,2009-04-03,12,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.635,,2009-04-06,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.345,1.55,2009-04-07,15,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.63,1.7,2009-04-08,6,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.585,,2009-04-09,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.62,,2009-04-13,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.64,1.64,2009-04-14,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.62,1.62,2009-04-15,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.41,1.64,2009-04-16,20,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.4401,1.608,2009-04-17,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.55,,2009-04-20,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.46,1.46,2009-04-21,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5,1.5,2009-04-22,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.61,,2009-04-23,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5,1.675,2009-04-24,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.61,,2009-04-27,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.61,,2009-04-28,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.45,1.52,2009-04-29,6,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.45,1.45,2009-04-30,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.4704,1.678,2009-05-01,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.4601,1.46,2009-05-04,6,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.585,,2009-05-05,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.58,1.5,2009-05-06,8,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.5,1.45,2009-05-07,19,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.534,1.69,2009-05-08,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.51,1.5,2009-05-11,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.6,1.565,2009-05-12,6,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.8,,2009-05-13,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.61,1.7001,2009-05-14,7,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.825,,2009-05-15,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.825,,2009-05-18,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.825,,2009-05-19,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.85,,2009-05-20,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.845,,2009-05-21,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.55,1.7,2009-05-22,15,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.53,1.54,2009-05-26,8,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.58,1.57,2009-05-27,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.765,,2009-05-28,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.785,,2009-05-29,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.63,1.55,2009-06-01,3,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.775,,2009-06-02,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.57,1.62,2009-06-03,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.805,,2009-06-04,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.61,1.958,2009-06-05,8,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-2.52,,2009-06-08,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.77,,2009-06-09,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.755,,2009-06-10,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.73,,2009-06-11,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.75,,2009-06-12,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8,1.57,2009-06-15,37,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8,2.29,2009-06-16,15,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,2.0,1.8,2009-06-17,8,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-2.085,,2009-06-18,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.855,,2009-06-19,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.79,1.63,2009-06-22,7,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-2.315,,2009-06-23,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.64,1.63,2009-06-24,12,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.855,,2009-06-25,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.63,1.5,2009-06-26,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.865,,2009-06-29,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.71,,2009-06-30,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.86,,2009-07-01,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.65,1.94,2009-07-02,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.875,,2009-07-06,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.875,,2009-07-07,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.65,1.65,2009-07-08,10,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.695,2.095,2009-07-09,5,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.875,,2009-07-10,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,2.09,2.09,2009-07-13,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.8,,2009-07-14,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.7853,1.68,2009-07-15,8,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.745,,2009-07-16,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.8,1.7999,2009-07-17,2,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.79,1.8,2009-07-20,12,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.9,,2009-07-21,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.9,,2009-07-22,0,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,1.76,1.75,2009-07-23,4,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
82617610,-1.9,,2009-07-24,1,SIEB,SIEBERT FINANCIAL CORP,6210.0,295.0
