cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
86606G10,-9.065,,2009-01-02,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.45,,2009-01-05,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.33,,2009-01-06,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.33,,2009-01-07,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.39,,2009-01-08,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.7899,9.79,2009-01-09,8,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.11,9.07,2009-01-12,7,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.1399,9.0,2009-01-13,11,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.99,9.24,2009-01-14,117,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.96,9.99,2009-01-15,2,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.25,10.0,2009-01-16,18,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.475,,2009-01-20,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.0,9.07,2009-01-21,10,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.75,9.0,2009-01-22,9,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.0,9.0,2009-01-23,11,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.0,9.0,2009-01-26,2,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.0,9.0,2009-01-27,8,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.12,,2009-01-28,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.25,9.24,2009-01-29,5,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.125,,2009-01-30,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.125,,2009-02-02,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.125,,2009-02-03,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.01,9.01,2009-02-04,5,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.01,9.0,2009-02-05,5,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.0,9.01,2009-02-06,21,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.9899,9.03,2009-02-09,17,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.14,9.19,2009-02-10,10,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-8.855,,2009-02-11,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,9.01,9.0,2009-02-12,6,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.55,8.55,2009-02-13,1,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-9.325,,2009-02-17,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.51,8.75,2009-02-18,10,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.41,8.5,2009-02-19,3,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-8.53,,2009-02-20,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-8.64,,2009-02-23,1,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.2,8.5,2009-02-24,19,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.01,8.35,2009-02-25,7,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.85,8.4999,2009-02-26,8,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.6621,7.84,2009-02-27,4,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.6,7.62,2009-03-02,6,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.6,7.62,2009-03-03,11,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.5,7.5,2009-03-04,7,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.5,7.5,2009-03-05,3,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.25,7.5,2009-03-06,12,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.03,7.03,2009-03-09,4,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.0815,7.05,2009-03-10,7,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.5,7.5,2009-03-11,7,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.85,7.99,2009-03-12,5,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-7.74,,2009-03-13,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.25,7.51,2009-03-16,7,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.5001,7.25,2009-03-17,4,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.0001,7.5,2009-03-18,4,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.79,7.0,2009-03-19,11,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.6,7.6,2009-03-20,2,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.52,7.45,2009-03-23,15,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.5,7.02,2009-03-24,9,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.405,7.0,2009-03-25,27,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,6.85,7.58,2009-03-26,34,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,6.92,6.86,2009-03-27,12,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-7.45,,2009-03-30,1,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.88,7.95,2009-03-31,6,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.5,7.99,2009-04-01,9,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.99,7.93,2009-04-02,4,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.99,7.97,2009-04-03,6,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,-7.665,,2009-04-06,0,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.14,7.97,2009-04-07,177,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.0,7.25,2009-04-08,303,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.62,7.15,2009-04-09,361,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.63,7.24,2009-04-13,480,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.66,7.49,2009-04-14,155,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,7.45,7.52,2009-04-15,12,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,6.7,6.85,2009-04-16,335,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
86606G10,8.49,6.7,2009-04-17,35,7415.0,SMMF,SUMMIT FINANCIAL GROUP INC,6021.0
