cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
84721510,23.44,23.5,2009-01-02,1512,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,22.45,23.86,2009-01-05,2043,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.94,22.69,2009-01-06,3388,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,21.15,20.85,2009-01-07,1843,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,21.03,20.9,2009-01-08,1639,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.78,21.24,2009-01-09,1586,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.25,20.32,2009-01-12,1729,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.9,20.31,2009-01-13,1497,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.69,20.53,2009-01-14,1556,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,21.2,20.83,2009-01-15,1267,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,21.37,21.23,2009-01-16,1617,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.05,21.0,2009-01-20,1442,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.92,19.89,2009-01-21,1614,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,20.08,20.55,2009-01-22,1245,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.78,19.74,2009-01-23,1737,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.66,19.9,2009-01-26,2745,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.69,19.77,2009-01-27,1678,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.15,20.0,2009-01-28,2004,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.29,19.07,2009-01-29,3221,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.58,18.49,2009-01-30,2097,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.66,18.5,2009-02-02,2179,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.96,18.86,2009-02-03,2156,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.47,18.87,2009-02-04,1689,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.97,18.97,2009-02-05,2420,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.51,18.89,2009-02-06,2960,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.75,19.39,2009-02-09,1790,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.18,19.71,2009-02-10,2054,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,19.02,19.31,2009-02-11,1196,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.72,18.85,2009-02-12,1697,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.89,18.81,2009-02-13,1519,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,18.09,18.41,2009-02-17,2335,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,17.72,18.3,2009-02-18,1730,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,17.74,17.83,2009-02-19,983,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,17.3,17.52,2009-02-20,1320,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,16.71,17.27,2009-02-23,1516,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,16.67,16.9,2009-02-24,2187,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,15.67,16.54,2009-02-25,2050,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,14.87,15.72,2009-02-26,2313,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,15.3,14.67,2009-02-27,2373,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,14.83,15.06,2009-03-02,2324,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,14.15,14.82,2009-03-03,3898,SPTN,SPARTANNASH CO,5140.0,202.0
84721510,14.59,14.27,2009-03-04,2001,SPTN,SPARTANNASH CO,5140.0,202.0
