cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
Y8897Y23,1.9,1.65,2009-01-02,159,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.86,1.83,2009-01-05,209,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.91,1.87,2009-01-06,185,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.85,1.87,2009-01-07,187,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.249,1.87,2009-01-08,470,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.29,2.3,2009-01-09,358,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.24,2.25,2009-01-12,206,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.3,2.24,2009-01-13,285,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.15,2.12,2009-01-14,191,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.17,2.19,2009-01-15,136,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.08,2.12,2009-01-16,78,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.97,2.01,2009-01-20,39,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.17,1.99,2009-01-21,156,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.02,2.15,2009-01-22,141,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.16,2.09,2009-01-23,156,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.08,2.21,2009-01-26,140,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.05,2.02,2009-01-27,152,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.05,2.1,2009-01-28,175,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.0,1.98,2009-01-29,142,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.83,1.97,2009-01-30,165,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.82,1.76,2009-02-02,127,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.82,1.93,2009-02-03,97,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.81,1.82,2009-02-04,24,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.79,1.9,2009-02-05,15,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.71,1.73,2009-02-06,39,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.84,1.7,2009-02-09,35,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.712,1.82,2009-02-10,33,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.69,1.75,2009-02-11,16,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.68,1.7,2009-02-12,48,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.7,1.64,2009-02-13,22,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,2.0,1.62,2009-02-17,92,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.8,1.95,2009-02-18,39,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.74,1.97,2009-02-19,20,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.51,1.57,2009-02-20,42,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.4,1.59,2009-02-23,63,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.47,1.58,2009-02-24,8,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.42,1.55,2009-02-25,31,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.45,1.57,2009-02-26,24,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.26,1.4,2009-02-27,52,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.02,1.25,2009-03-02,64,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.93,1.0,2009-03-03,54,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.88,0.93,2009-03-04,69,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.88,0.98,2009-03-05,87,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.77,0.95,2009-03-06,144,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.82,0.77,2009-03-09,52,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.9,0.7,2009-03-10,79,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.91,0.9,2009-03-11,29,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.8201,0.92,2009-03-12,45,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.9,0.94,2009-03-13,13,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.9,1.05,2009-03-16,66,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.01,1.04,2009-03-17,39,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.89,1.05,2009-03-18,56,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.99,0.83,2009-03-19,49,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.9,0.99,2009-03-20,47,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.91,0.99,2009-03-23,51,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.97,0.95,2009-03-24,64,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.8701,0.9699,2009-03-25,19,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.94,0.97,2009-03-26,38,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.08,0.99,2009-03-27,134,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.0,1.09,2009-03-30,72,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.98,1.0,2009-03-31,41,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,0.98,0.98,2009-04-01,174,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.15,1.45,2009-04-02,284,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.148,1.15,2009-04-03,135,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.08,1.12,2009-04-06,105,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.03,1.08,2009-04-07,110,TOPS,TOP SHIPS INC,4412.0,132.0
Y8897Y23,1.08,1.1,2009-04-08,52,TOPS,TOP SHIPS INC,4412.0,132.0
