cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
74347R76,37.03,35.98,2009-01-02,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,36.55,37.23,2009-01-05,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,36.61,37.77,2009-01-06,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,35.709,35.11,2009-01-07,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,35.61,35.44,2009-01-08,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,34.39,36.29,2009-01-09,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,33.644,34.4,2009-01-12,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,34.0,33.77,2009-01-13,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.05,34.05,2009-01-14,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.24,31.83,2009-01-15,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,33.33,33.26,2009-01-16,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,31.67,32.49,2009-01-20,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.5,31.46,2009-01-21,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.09,31.62,2009-01-22,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,31.56,31.4,2009-01-23,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.07,31.77,2009-01-26,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.35,32.2,2009-01-27,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,33.38,33.06,2009-01-28,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,32.4,33.33,2009-01-29,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,30.2,32.9,2009-01-30,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,29.87,29.71,2009-02-02,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,31.21,29.7099,2009-02-03,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,29.93,31.36,2009-02-04,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,30.73,29.15,2009-02-05,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,31.78,31.29,2009-02-06,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,31.01,31.33,2009-02-09,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,28.95,30.15,2009-02-10,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,29.17,28.88,2009-02-11,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,29.87,28.25,2009-02-12,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,29.8236,29.4401,2009-02-13,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,27.81,28.25,2009-02-17,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,27.92,29.49,2009-02-18,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,27.95,28.48,2009-02-19,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,27.19,27.0,2009-02-20,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,25.87,27.38,2009-02-23,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,27.148,26.12,2009-02-24,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,26.61,27.15,2009-02-25,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,25.6,27.56,2009-02-26,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,25.33,27.56,2009-02-27,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,23.515,25.96,2009-03-02,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,23.31,24.71,2009-03-03,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,24.17,24.26,2009-03-04,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,22.3498,24.17,2009-03-05,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,23.02,22.66,2009-03-06,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,22.3,22.26,2009-03-09,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,23.3185,22.68,2009-03-10,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,23.83,23.98,2009-03-11,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,25.0146,24.64,2009-03-12,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,25.7308,26.0,2009-03-13,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,26.47,25.75,2009-03-16,,375.0,UGE,PROSHARES TRUST,6726.0
74347R76,26.87,26.76,2009-03-17,,375.0,UGE,PROSHARES TRUST,6726.0
