cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
76009N10,17.65,17.84,2009-01-02,4131,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,17.72,17.65,2009-01-05,6971,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,18.64,17.97,2009-01-06,6855,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,17.6,18.42,2009-01-07,6764,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,17.69,17.35,2009-01-08,6752,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,16.92,17.73,2009-01-09,8222,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,16.6,16.96,2009-01-12,7924,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,17.09,16.63,2009-01-13,5735,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.83,16.67,2009-01-14,6665,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,16.11,15.74,2009-01-15,5758,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,16.03,16.27,2009-01-16,6057,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.0,15.87,2009-01-20,7973,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.0,15.22,2009-01-21,7839,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.02,14.73,2009-01-22,6553,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,14.91,14.74,2009-01-23,5052,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.23,14.86,2009-01-26,7028,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.91,15.39,2009-01-27,5889,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,16.35,15.95,2009-01-28,4707,65982.0,UPBD,UPBOUND GROUP INC,7359.0
76009N10,15.37,16.25,2009-01-29,6601,65982.0,UPBD,UPBOUND GROUP INC,7359.0
