cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
919120000000000.0,13.19,12.22,2009-01-02,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.1,13.05,2009-01-05,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.11,15.01,2009-01-06,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.68,14.41,2009-01-07,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.05,13.6,2009-01-08,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.87,14.51,2009-01-09,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.75,13.53,2009-01-12,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.06,12.55,2009-01-13,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.06,12.49,2009-01-14,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.6,12.24,2009-01-15,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.96,13.12,2009-01-16,VALE,VALE S A,1011.0,98.0
919120000000000.0,11.9,12.66,2009-01-20,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.88,12.37,2009-01-21,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.74,12.35,2009-01-22,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.03,12.23,2009-01-23,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.16,13.2,2009-01-26,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.89,13.32,2009-01-27,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.96,14.39,2009-01-28,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.39,14.58,2009-01-29,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.11,14.39,2009-01-30,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.08,13.63,2009-02-02,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.75,14.16,2009-02-03,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.52,15.26,2009-02-04,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.33,15.44,2009-02-05,VALE,VALE S A,1011.0,98.0
919120000000000.0,17.7,16.4,2009-02-06,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.97,17.63,2009-02-09,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.79,16.51,2009-02-10,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.72,16.2,2009-02-11,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.75,15.01,2009-02-12,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.1,15.67,2009-02-13,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.64,15.27,2009-02-17,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.72,14.9,2009-02-18,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.72,15.22,2009-02-19,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.6,13.89,2009-02-20,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.0,13.56,2009-02-23,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.93,12.23,2009-02-24,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.85,12.94,2009-02-25,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.94,13.21,2009-02-26,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.89,12.5,2009-02-27,VALE,VALE S A,1011.0,98.0
919120000000000.0,11.94,12.45,2009-03-02,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.27,12.15,2009-03-03,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.78,13.12,2009-03-04,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.13,13.085,2009-03-05,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.82,13.45,2009-03-06,VALE,VALE S A,1011.0,98.0
919120000000000.0,12.52,12.45,2009-03-09,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.65,12.96,2009-03-10,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.73,13.88,2009-03-11,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.86,13.69,2009-03-12,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.49,13.98,2009-03-13,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.45,13.69,2009-03-16,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.79,13.22,2009-03-17,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.85,13.61,2009-03-18,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.14,14.34,2009-03-19,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.93,14.1,2009-03-20,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.96,14.35,2009-03-23,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.33,14.44,2009-03-24,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.38,14.44,2009-03-25,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.86,14.72,2009-03-26,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.08,14.29,2009-03-27,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.05,13.53,2009-03-30,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.3,13.46,2009-03-31,VALE,VALE S A,1011.0,98.0
919120000000000.0,13.82,13.19,2009-04-01,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.01,14.66,2009-04-02,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.34,15.1,2009-04-03,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.92,15.04,2009-04-06,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.45,14.62,2009-04-07,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.76,14.81,2009-04-08,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.97,15.39,2009-04-09,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.37,15.74,2009-04-13,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.14,16.31,2009-04-14,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.27,16.01,2009-04-15,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.35,16.5,2009-04-16,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.09,16.32,2009-04-17,VALE,VALE S A,1011.0,98.0
919120000000000.0,14.92,15.61,2009-04-20,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.3,14.7,2009-04-21,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.47,15.22,2009-04-22,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.88,15.71,2009-04-23,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.43,16.24,2009-04-24,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.72,16.0,2009-04-27,VALE,VALE S A,1011.0,98.0
919120000000000.0,15.57,15.44,2009-04-28,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.06,15.75,2009-04-29,VALE,VALE S A,1011.0,98.0
919120000000000.0,16.51,16.27,2009-04-30,VALE,VALE S A,1011.0,98.0
919120000000000.0,17.42,16.55,2009-05-01,VALE,VALE S A,1011.0,98.0
919120000000000.0,18.68,17.51,2009-05-04,VALE,VALE S A,1011.0,98.0
919120000000000.0,18.7,19.0,2009-05-05,VALE,VALE S A,1011.0,98.0
919120000000000.0,19.04,18.91,2009-05-06,VALE,VALE S A,1011.0,98.0
919120000000000.0,18.32,19.1,2009-05-07,VALE,VALE S A,1011.0,98.0
919120000000000.0,18.81,18.79,2009-05-08,VALE,VALE S A,1011.0,98.0
919120000000000.0,18.94,18.48,2009-05-11,VALE,VALE S A,1011.0,98.0
