cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
92204A10,33.57,32.24,2009-01-02,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,33.62,33.44,2009-01-05,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,34.16,33.96,2009-01-06,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,33.04,33.5,2009-01-07,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,33.25,32.9,2009-01-08,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,32.26,33.31,2009-01-09,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,31.4,32.25,2009-01-12,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,31.06,31.31,2009-01-13,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.93,30.43,2009-01-14,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,30.57,29.83,2009-01-15,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,31.02,31.05,2009-01-16,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.07,30.63,2009-01-20,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,30.08,29.55,2009-01-21,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.72,29.44,2009-01-22,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.68,28.95,2009-01-23,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.81,29.67,2009-01-26,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.93,29.95,2009-01-27,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,31.1,30.784,2009-01-28,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.91,30.72,2009-01-29,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,28.95,30.15,2009-01-30,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,28.91,28.55,2009-02-02,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.66,29.1,2009-02-03,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.01,29.45,2009-02-04,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.51,28.78,2009-02-05,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,30.42,29.56,2009-02-06,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,30.35,30.45,2009-02-09,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.01,30.03,2009-02-10,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.06,29.11,2009-02-11,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,29.18,28.52,2009-02-12,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,28.81,29.13,2009-02-13,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,27.78,27.79,2009-02-17,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,27.47,27.94,2009-02-18,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,27.26,27.81,2009-02-19,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,27.12,26.69,2009-02-20,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,26.41,27.36,2009-02-23,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,27.59,26.67,2009-02-24,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,27.33,27.44,2009-02-25,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,26.8,27.36,2009-02-26,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
92204A10,26.77,26.37,2009-02-27,VCR,VANGUARD SECTOR INDEX FUNDS,6726.0,249.0
