cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
92532F10,30.69,30.274,2009-01-02,9262.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,32.15,30.63,2009-01-05,14078.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.63,31.92,2009-01-06,14226.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.52,31.21,2009-01-07,11269.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.77,31.46,2009-01-08,13729.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.91,31.85,2009-01-09,12886.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.52,30.04,2009-01-12,12836.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.23,29.62,2009-01-13,17890.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.03,30.76,2009-01-14,13430.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.86,30.11,2009-01-15,7784.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.75,31.0,2009-01-16,12259.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.48,30.84,2009-01-20,16965.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.53,29.91,2009-01-21,14822.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.98,30.76,2009-01-22,10671.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.94,30.45,2009-01-23,8535.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.43,31.01,2009-01-26,9387.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.64,31.56,2009-01-27,11875.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,32.54,31.59,2009-01-28,10538.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.72,32.3,2009-01-29,15188.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.05,33.67,2009-01-30,13820.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,32.75,32.85,2009-02-02,16976.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.2,32.79,2009-02-03,12706.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.39,32.89,2009-02-04,10841.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.96,33.1,2009-02-05,11494.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,35.0,35.01,2009-02-06,20211.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.53,34.67,2009-02-09,16909.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.49,33.2,2009-02-10,25342.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,31.88,31.62,2009-02-11,12925.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.29,31.56,2009-02-12,14747.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.29,33.3,2009-02-13,10254.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.1,32.52,2009-02-17,13975.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,32.56,33.27,2009-02-18,11355.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.7,33.096,2009-02-19,28705.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.06,33.34,2009-02-20,21424.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,32.89,33.18,2009-02-23,18828.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.58,33.15,2009-02-24,16316.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.06,33.43,2009-02-25,18000.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,33.0,33.13,2009-02-26,20746.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.14,32.46,2009-02-27,30649.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.23,28.86,2009-03-02,27983.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.96,27.23,2009-03-03,20368.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.03,29.14,2009-03-04,24339.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.96,28.17,2009-03-05,18713.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.77,28.04,2009-03-06,17970.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,26.96,27.55,2009-03-09,14884.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.44,27.45,2009-03-10,17043.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.15,28.57,2009-03-11,19137.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.26,27.07,2009-03-12,17238.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.1,29.26,2009-03-13,15126.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.46,28.5,2009-03-16,21131.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.76,27.64,2009-03-17,18802.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.5,28.9,2009-03-18,21108.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.33,29.75,2009-03-19,15155.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.79,29.32,2009-03-20,12541.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.12,29.5,2009-03-23,14281.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.32,29.56,2009-03-24,8549.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.17,29.54,2009-03-25,13552.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,30.18,29.68,2009-03-26,18290.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,29.43,29.65,2009-03-27,11629.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.67,29.02,2009-03-30,14663.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.73,28.89,2009-03-31,13244.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.48,28.46,2009-04-01,13932.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,28.34,28.48,2009-04-02,15201.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
92532F10,27.33,28.75,2009-04-03,17119.0,VRTX,VERTEX PHARMACEUTICALS INC,2830.0,253.0
