cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
95709010,50.61,51.29,2009-01-02,1315,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,49.56,50.49,2009-01-05,3094,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,49.84,48.82,2009-01-06,2547,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,47.99,49.37,2009-01-07,1485,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,48.16,48.01,2009-01-08,1313,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,46.22,47.88,2009-01-09,1943,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,45.14,46.19,2009-01-12,2491,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,46.22,44.9,2009-01-13,2821,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,44.97,45.67,2009-01-14,2959,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,46.33,44.85,2009-01-15,3304,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,45.46,46.51,2009-01-16,3939,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,41.5,44.78,2009-01-20,4565,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,44.67,41.96,2009-01-21,4739,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,41.69,43.57,2009-01-22,4520,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,41.85,40.97,2009-01-23,5781,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,41.41,41.94,2009-01-26,2482,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,43.16,41.5,2009-01-27,2432,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,47.13,45.0,2009-01-28,3773,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,44.41,46.65,2009-01-29,2718,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,42.73,44.75,2009-01-30,2455,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,44.3,42.25,2009-02-02,2925,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,42.08,43.54,2009-02-03,5370,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,42.65,42.27,2009-02-04,3417,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,44.2,42.35,2009-02-05,3572,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,48.52,44.05,2009-02-06,5295,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,48.28,48.77,2009-02-09,3248,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,46.19,48.01,2009-02-10,4163,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,46.98,46.55,2009-02-11,3109,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,46.3,46.19,2009-02-12,2571,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,45.52,46.58,2009-02-13,3413,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,44.35,44.05,2009-02-17,4331,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,43.17,44.3,2009-02-18,4037,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,40.22,43.7,2009-02-19,4934,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,38.87,39.8,2009-02-20,10909,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,38.43,39.0,2009-02-23,7537,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,40.66,38.71,2009-02-24,6478,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,40.63,40.37,2009-02-25,5700,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,40.71,41.22,2009-02-26,6592,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,39.87,40.68,2009-02-27,5869,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,39.5,38.98,2009-03-02,5734,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,38.08,40.06,2009-03-03,4346,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
95709010,37.79,38.24,2009-03-04,7655,WABC,WESTAMERICA BANCORPORATION,6020.0,305.0
