cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
97785210,16.11,15.84,2009-01-02,6072.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,16.15,16.04,2009-01-05,6732.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,17.83,17.2,2009-01-06,10545.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,17.82,18.29,2009-01-07,8025.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,17.87,18.28,2009-01-08,7182.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.78,18.0,2009-01-09,8151.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,17.76,18.73,2009-01-12,7123.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,17.73,17.76,2009-01-13,4918.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,16.79,17.49,2009-01-14,5902.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,16.98,16.78,2009-01-15,5056.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,17.93,17.43,2009-01-16,9273.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,16.49,17.91,2009-01-20,8223.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.76,18.25,2009-01-21,24337.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.47,18.69,2009-01-22,9880.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.89,18.61,2009-01-23,14764.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.8,20.1,2009-01-26,5406.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,20.24,19.79,2009-01-27,6524.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.0,20.5,2009-01-28,7348.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.33,20.66,2009-01-29,7835.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.93,21.39,2009-01-30,9023.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.61,19.58,2009-02-02,10736.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,20.02,19.78,2009-02-03,8299.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,20.51,20.02,2009-02-04,10887.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.26,20.31,2009-02-05,7360.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.84,21.43,2009-02-06,5308.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.61,21.85,2009-02-09,5877.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,20.87,21.41,2009-02-10,8950.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,20.91,21.35,2009-02-11,5239.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.51,20.91,2009-02-12,6271.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,22.01,21.59,2009-02-13,4328.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.05,21.33,2009-02-17,9482.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.24,20.99,2009-02-18,7695.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.99,21.4,2009-02-19,6675.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.52,19.6,2009-02-20,8469.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.58,19.88,2009-02-23,7261.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.74,18.81,2009-02-24,7767.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.96,19.48,2009-02-25,6500.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.81,20.35,2009-02-26,6976.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.64,19.53,2009-02-27,9544.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.08,19.28,2009-03-02,8593.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.14,18.44,2009-03-03,7895.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.53,18.31,2009-03-04,9717.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.73,18.18,2009-03-05,10063.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.83,18.72,2009-03-06,8488.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,18.14,18.7,2009-03-09,7103.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,19.39,18.5,2009-03-10,6809.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,20.2,19.28,2009-03-11,10402.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.37,20.11,2009-03-12,8835.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.52,21.12,2009-03-13,5946.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,21.4,21.53,2009-03-16,7032.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,22.3,21.32,2009-03-17,7885.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,24.49,22.17,2009-03-18,15942.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,24.31,24.31,2009-03-19,11033.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,22.98,24.3,2009-03-20,7701.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,24.39,23.75,2009-03-23,7952.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,23.63,24.25,2009-03-24,6260.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,23.49,23.73,2009-03-25,7124.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,24.53,23.64,2009-03-26,8730.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,24.09,24.29,2009-03-27,5474.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,23.03,23.35,2009-03-30,5340.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,23.53,23.38,2009-03-31,5577.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,25.23,22.95,2009-04-01,18328.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,25.4,25.99,2009-04-02,17058.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.22,26.03,2009-04-03,10541.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.61,26.24,2009-04-06,10648.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,25.58,25.74,2009-04-07,8878.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,25.96,25.59,2009-04-08,5849.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.92,26.4,2009-04-09,9860.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.75,26.63,2009-04-13,6855.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.85,26.64,2009-04-14,14249.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.1,27.0,2009-04-15,7493.0,WOLF,WOLFSPEED INC,3674.0,254.0
97785210,26.87,26.66,2009-04-16,6491.0,WOLF,WOLFSPEED INC,3674.0,254.0
