cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
98419J20,0.67,0.63,2009-01-02,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.75,0.67,2009-01-05,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.769,0.77,2009-01-06,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.74,0.75,2009-01-07,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.75,0.74,2009-01-08,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.71,0.76,2009-01-09,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.71,0.7,2009-01-12,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.72,0.7,2009-01-13,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.64,0.71,2009-01-14,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.64,0.63,2009-01-15,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.7,0.66,2009-01-16,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.61,0.72,2009-01-20,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.69,0.66,2009-01-21,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.66,0.7,2009-01-22,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.66,0.7,2009-01-23,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.7,0.67,2009-01-26,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.68,0.7,2009-01-27,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.71,0.7,2009-01-28,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.67,0.69,2009-01-29,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.66,0.67,2009-01-30,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.7,0.65,2009-02-02,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.74,0.7,2009-02-03,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.8,0.74,2009-02-04,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.81,0.8,2009-02-05,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.88,0.83,2009-02-06,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.9,0.88,2009-02-09,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.84,0.9,2009-02-10,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.8,0.85,2009-02-11,XOMA,XOMA CORP,2834.0,298.0
98419J20,0.84,0.79,2009-02-12,XOMA,XOMA CORP,2834.0,298.0
