cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
74347W56,22.18,22.21,2009-01-02,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.98,22.93,2009-01-05,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.2601,23.48,2009-01-06,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.6,22.62,2009-01-07,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.9581,21.99,2009-01-08,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.54,21.8,2009-01-09,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.83,21.24,2009-01-12,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.85,21.24,2009-01-13,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.8599,20.85,2009-01-14,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.16,21.12,2009-01-15,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.56,21.69,2009-01-16,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.12,21.67,2009-01-20,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.12,21.19,2009-01-21,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.78,20.65,2009-01-22,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.82,20.65,2009-01-23,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.93,20.9,2009-01-26,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.8291,20.91,2009-01-27,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.3088,20.95,2009-01-28,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.17,21.1,2009-01-29,,100.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.21,21.02,2009-01-30,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.088,21.09,2009-02-02,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,20.91,20.81,2009-02-03,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.0,21.06,2009-02-04,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.75,21.18,2009-02-05,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.0601,21.93,2009-02-06,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.8899,22.03,2009-02-09,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.3,21.75,2009-02-10,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.37,21.3,2009-02-11,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.55,21.31,2009-02-12,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.16,21.91,2009-02-13,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.328,22.26,2009-02-17,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.05,22.85,2009-02-18,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.31,23.25,2009-02-19,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.5145,23.28,2009-02-20,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.33,23.49,2009-02-23,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.42,24.2,2009-02-24,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.73,24.5,2009-02-25,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.17,24.97,2009-02-26,,200.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.8,24.69,2009-02-27,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.7,24.88,2009-03-02,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.1,25.15,2009-03-03,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.52,25.68,2009-03-04,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.82,25.43,2009-03-05,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.05,24.79,2009-03-06,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.36,25.47,2009-03-09,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.32,25.06,2009-03-10,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.4001,24.98,2009-03-11,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.62,24.41,2009-03-12,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.9,25.09,2009-03-13,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.0094,25.12,2009-03-16,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.21,25.31,2009-03-17,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.8284,25.06,2009-03-18,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.0,23.19,2009-03-19,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.67,23.55,2009-03-20,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.2,24.05,2009-03-23,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.6,24.78,2009-03-24,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.43,24.78,2009-03-25,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.1,24.95,2009-03-26,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.72,24.69,2009-03-27,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.4,24.21,2009-03-30,,1650.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.1901,24.92,2009-03-31,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.09,25.04,2009-04-01,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.55,25.95,2009-04-02,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.93,25.71,2009-04-03,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,26.31,26.12,2009-04-06,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.9698,25.95,2009-04-07,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.59,25.95,2009-04-08,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.9901,25.91,2009-04-09,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.8,25.89,2009-04-13,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.16,25.43,2009-04-14,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.374,25.36,2009-04-15,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.3,25.23,2009-04-16,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.3,25.27,2009-04-17,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.5399,24.97,2009-04-20,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.03,24.58,2009-04-21,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.61,24.48,2009-04-22,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.59,24.8,2009-04-23,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.14,24.25,2009-04-24,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.0201,23.98,2009-04-27,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.9,23.7,2009-04-28,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.4,24.03,2009-04-29,,2350.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.88,24.85,2009-04-30,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.2699,25.37,2009-05-01,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.1,25.4,2009-05-04,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.03,24.96,2009-05-05,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.76,25.06,2009-05-06,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,25.14,25.2,2009-05-07,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.82,25.16,2009-05-08,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.23,24.33,2009-05-11,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.78,24.0,2009-05-12,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.21,23.63,2009-05-13,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.42,23.33,2009-05-14,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.14,23.31,2009-05-15,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.71,23.41,2009-05-18,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.59,23.57,2009-05-19,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.94,23.45,2009-05-20,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.75,22.86,2009-05-21,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.91,22.61,2009-05-22,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.06,22.9,2009-05-26,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.17,23.02,2009-05-27,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.9999,23.98,2009-05-28,,2750.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.14,23.46,2009-05-29,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.76,23.27,2009-06-01,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.22,23.33,2009-06-02,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.4674,23.39,2009-06-03,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.82,23.72,2009-06-04,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.82,24.41,2009-06-05,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.59,24.94,2009-06-08,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.04,24.25,2009-06-09,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.54,24.4,2009-06-10,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.22,24.445,2009-06-11,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.56,24.41,2009-06-12,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,24.24,24.38,2009-06-15,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.59,23.9,2009-06-16,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.22,23.34,2009-06-17,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.6201,23.4,2009-06-18,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.46,23.78,2009-06-19,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.28,23.27,2009-06-22,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.96,23.16,2009-06-23,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.11,23.05,2009-06-24,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.27,23.38,2009-06-25,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.96,23.05,2009-06-26,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.33,23.1,2009-06-29,,1850.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.46,23.53,2009-06-30,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.62,23.55,2009-07-01,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.27,23.41,2009-07-02,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.98,22.76,2009-07-06,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.74,22.94,2009-07-07,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.65,22.44,2009-07-08,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.8,21.83,2009-07-09,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.59,21.53,2009-07-10,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,21.81,21.51,2009-07-13,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.0001,21.8779,2009-07-14,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.53,22.15,2009-07-15,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.19,22.13,2009-07-16,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.49,22.38,2009-07-17,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.43,22.57,2009-07-20,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.13,22.34,2009-07-21,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.08,21.99,2009-07-22,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.76,22.51,2009-07-23,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.65,22.76,2009-07-24,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.87,22.79,2009-07-27,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.55,22.61,2009-07-28,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.74,22.6324,2009-07-29,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.95,23.0,2009-07-30,,1950.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.55,22.96,2009-07-31,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.86,22.73,2009-08-03,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.85,22.64,2009-08-04,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.71,22.92,2009-08-05,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.92,23.03,2009-08-06,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.92,23.57,2009-08-07,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.71,23.79,2009-08-10,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.17,23.37,2009-08-11,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,23.2,23.05,2009-08-12,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.85,23.08,2009-08-13,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.57,22.64,2009-08-14,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.4,22.43,2009-08-17,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.53,22.55,2009-08-18,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.23,22.21,2009-08-19,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.29,22.21,2009-08-20,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.33,22.06,2009-08-21,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.43,22.52,2009-08-24,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.23,22.3,2009-08-25,,1550.0,YCS,PROSHARES TRUST II,6726.0
74347W56,22.26,22.26,2009-08-26,,1550.0,YCS,PROSHARES TRUST II,6726.0
