cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428986,41.3,41.0,2019-01-02,AOR,ISHARES TRUST,6726.0,187.0
46428986,40.86,41.13,2019-01-03,AOR,ISHARES TRUST,6726.0,187.0
46428986,41.67,41.25,2019-01-04,AOR,ISHARES TRUST,6726.0,187.0
46428986,41.75,41.69,2019-01-07,AOR,ISHARES TRUST,6726.0,187.0
46428986,41.91,41.97,2019-01-08,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.15,42.13,2019-01-09,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.28,42.07,2019-01-10,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.18,42.15,2019-01-11,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.05,42.03,2019-01-14,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.26,42.12,2019-01-15,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.36,42.28,2019-01-16,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.56,42.3,2019-01-17,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.81,42.7,2019-01-18,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.46,42.68,2019-01-22,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.56,42.55,2019-01-23,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.65,42.56,2019-01-24,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.88,42.84,2019-01-25,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.7,42.7,2019-01-28,AOR,ISHARES TRUST,6726.0,187.0
46428986,42.75,42.85,2019-01-29,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.12,42.83,2019-01-30,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.34,43.17,2019-01-31,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.29,43.34,2019-02-01,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.41,43.29,2019-02-04,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.6,43.57,2019-02-05,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.49,43.59,2019-02-06,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.26,43.34,2019-02-07,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.28,43.15,2019-02-08,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.25,43.27,2019-02-11,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.59,43.42,2019-02-12,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.52,43.63,2019-02-13,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.6,43.51,2019-02-14,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.9,43.74,2019-02-15,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.96,43.86,2019-02-19,AOR,ISHARES TRUST,6726.0,187.0
46428986,44.09,44.0,2019-02-20,AOR,ISHARES TRUST,6726.0,187.0
46428986,43.93,44.03,2019-02-21,AOR,ISHARES TRUST,6726.0,187.0
46428986,44.15,44.06,2019-02-22,AOR,ISHARES TRUST,6726.0,187.0
46428986,44.18,44.28,2019-02-25,AOR,ISHARES TRUST,6726.0,187.0
