cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
23582520,13.85,13.33,2019-01-02,DAN,DANA INC,3714.0,195.0
23582520,13.6,13.81,2019-01-03,DAN,DANA INC,3714.0,195.0
23582520,14.83,14.24,2019-01-04,DAN,DANA INC,3714.0,195.0
23582520,15.28,14.87,2019-01-07,DAN,DANA INC,3714.0,195.0
23582520,15.65,15.61,2019-01-08,DAN,DANA INC,3714.0,195.0
23582520,16.07,15.77,2019-01-09,DAN,DANA INC,3714.0,195.0
23582520,16.23,15.97,2019-01-10,DAN,DANA INC,3714.0,195.0
23582520,15.95,16.31,2019-01-11,DAN,DANA INC,3714.0,195.0
23582520,16.4,15.88,2019-01-14,DAN,DANA INC,3714.0,195.0
23582520,16.58,16.59,2019-01-15,DAN,DANA INC,3714.0,195.0
23582520,16.83,16.51,2019-01-16,DAN,DANA INC,3714.0,195.0
23582520,17.14,16.72,2019-01-17,DAN,DANA INC,3714.0,195.0
23582520,17.76,17.34,2019-01-18,DAN,DANA INC,3714.0,195.0
23582520,17.3,17.39,2019-01-22,DAN,DANA INC,3714.0,195.0
23582520,16.89,17.34,2019-01-23,DAN,DANA INC,3714.0,195.0
23582520,17.28,16.91,2019-01-24,DAN,DANA INC,3714.0,195.0
23582520,17.78,17.54,2019-01-25,DAN,DANA INC,3714.0,195.0
23582520,17.43,17.5,2019-01-28,DAN,DANA INC,3714.0,195.0
23582520,17.57,17.6,2019-01-29,DAN,DANA INC,3714.0,195.0
23582520,17.82,17.64,2019-01-30,DAN,DANA INC,3714.0,195.0
23582520,17.62,17.81,2019-01-31,DAN,DANA INC,3714.0,195.0
23582520,17.91,17.59,2019-02-01,DAN,DANA INC,3714.0,195.0
23582520,17.75,17.91,2019-02-04,DAN,DANA INC,3714.0,195.0
23582520,17.83,17.76,2019-02-05,DAN,DANA INC,3714.0,195.0
23582520,17.66,17.86,2019-02-06,DAN,DANA INC,3714.0,195.0
23582520,16.95,17.44,2019-02-07,DAN,DANA INC,3714.0,195.0
23582520,16.57,16.77,2019-02-08,DAN,DANA INC,3714.0,195.0
23582520,16.72,16.61,2019-02-11,DAN,DANA INC,3714.0,195.0
23582520,17.12,16.9,2019-02-12,DAN,DANA INC,3714.0,195.0
