cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
28490250,3.17,2.87,2019-01-02,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.46,3.19,2019-01-03,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.27,3.3,2019-01-04,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.31,3.3,2019-01-07,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.3,3.32,2019-01-08,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.25,3.31,2019-01-09,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.04,3.23,2019-01-10,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.06,3.02,2019-01-11,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.94,3.05,2019-01-14,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.94,2.95,2019-01-15,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.86,2.9,2019-01-16,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.83,2.86,2019-01-17,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.66,2.8,2019-01-18,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.69,2.64,2019-01-22,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.64,2.65,2019-01-23,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.67,2.64,2019-01-24,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.69,2.7,2019-01-25,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.79,2.71,2019-01-28,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.82,2.81,2019-01-29,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,2.94,2.83,2019-01-30,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.75,3.44,2019-01-31,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.98,3.82,2019-02-01,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.95,3.95,2019-02-04,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.17,3.91,2019-02-05,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.92,4.33,2019-02-06,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.82,3.92,2019-02-07,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.04,3.9,2019-02-08,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.02,3.95,2019-02-11,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,3.97,4.02,2019-02-12,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.0,3.95,2019-02-13,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.01,3.99,2019-02-14,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.18,4.08,2019-02-15,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.44,4.23,2019-02-19,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.35,4.45,2019-02-20,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.3,4.32,2019-02-21,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.39,4.12,2019-02-22,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.3,4.45,2019-02-25,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
28490250,4.3,4.3,2019-02-26,EGO,ELDORADO GOLD CORP NEW,1041.0,252.0
