cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
29379210,24.99,24.53,2019-01-02,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,25.45,25.0,2019-01-03,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,26.51,25.87,2019-01-04,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.12,26.83,2019-01-07,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.52,27.49,2019-01-08,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.18,27.75,2019-01-09,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.09,27.0,2019-01-10,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.03,27.0,2019-01-11,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.2,26.7,2019-01-14,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.37,27.41,2019-01-15,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.48,27.5,2019-01-16,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.62,27.48,2019-01-17,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.52,27.75,2019-01-18,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.42,27.53,2019-01-22,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.21,27.5,2019-01-23,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.35,27.12,2019-01-24,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.72,27.44,2019-01-25,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.66,27.66,2019-01-28,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.93,27.75,2019-01-29,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.67,27.55,2019-01-30,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.67,28.02,2019-01-31,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.18,27.83,2019-02-01,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.58,28.1,2019-02-04,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.58,28.61,2019-02-05,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.1,28.4,2019-02-06,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.75,27.98,2019-02-07,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.55,27.74,2019-02-08,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.75,27.52,2019-02-11,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.82,28.09,2019-02-12,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.06,27.97,2019-02-13,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.2,28.13,2019-02-14,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.21,28.17,2019-02-15,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.54,28.11,2019-02-19,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.51,28.54,2019-02-20,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.08,28.46,2019-02-21,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.07,28.19,2019-02-22,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.33,28.08,2019-02-25,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.92,28.27,2019-02-26,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.02,27.92,2019-02-27,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.65,28.0,2019-02-28,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.78,27.74,2019-03-01,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.98,27.93,2019-03-04,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.91,28.06,2019-03-05,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,27.86,27.8,2019-03-06,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.22,27.89,2019-03-07,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.07,27.91,2019-03-08,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.25,28.1,2019-03-11,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.35,28.25,2019-03-12,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.46,28.39,2019-03-13,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.21,28.39,2019-03-14,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.13,28.21,2019-03-15,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.82,28.19,2019-03-18,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.93,29.0,2019-03-19,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.06,29.0,2019-03-20,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.3,29.06,2019-03-21,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.09,29.1,2019-03-22,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.11,29.07,2019-03-25,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.1,29.25,2019-03-26,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.68,29.04,2019-03-27,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.89,28.67,2019-03-28,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.1,29.01,2019-03-29,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.35,29.25,2019-04-01,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.47,29.35,2019-04-02,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.6,29.84,2019-04-03,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.48,29.62,2019-04-04,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.51,29.48,2019-04-05,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.47,29.5,2019-04-08,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.26,29.48,2019-04-09,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.09,29.36,2019-04-10,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.33,29.01,2019-04-11,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.5,29.3,2019-04-12,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.37,29.57,2019-04-15,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.23,29.4,2019-04-16,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.87,29.23,2019-04-17,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,28.86,28.9,2019-04-18,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.35,29.0,2019-04-22,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.34,29.35,2019-04-23,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
29379210,29.22,29.34,2019-04-24,EPD,ENTERPRISE PRODUCTS PARTNERS LP,4922.0,317.0
