cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
00300910,3.91,3.86,2019-01-02,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,3.92,3.91,2019-01-03,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,3.95,3.92,2019-01-04,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.01,3.98,2019-01-07,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.01,4.01,2019-01-08,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.01,4.02,2019-01-09,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.03,4.04,2019-01-10,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.04,4.04,2019-01-11,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.05,4.04,2019-01-14,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.045,4.03,2019-01-15,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.06,4.04,2019-01-16,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.02,4.05,2019-01-17,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.03,4.04,2019-01-18,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,3.99,4.0,2019-01-22,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,3.99,4.0,2019-01-23,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,3.97,4.0,2019-01-24,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.01,3.99,2019-01-25,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.01,4.0,2019-01-28,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.01,4.02,2019-01-29,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.07,4.03,2019-01-30,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.13,4.11,2019-01-31,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.15,4.16,2019-02-01,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.17,4.18,2019-02-04,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.21,4.18,2019-02-05,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.18,4.22,2019-02-06,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.21,4.19,2019-02-07,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.22,4.2,2019-02-08,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.31,4.21,2019-02-11,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.19,4.25,2019-02-12,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.18,4.2,2019-02-13,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.16,4.19,2019-02-14,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.2,4.17,2019-02-15,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.23,4.2,2019-02-19,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.21,4.22,2019-02-20,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.23,4.2,2019-02-21,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.27,4.23,2019-02-22,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.24,4.28,2019-02-25,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.28,4.26,2019-02-26,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.25,4.27,2019-02-27,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.26,4.27,2019-02-28,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.26,4.29,2019-03-01,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.225,4.26,2019-03-04,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.22,4.24,2019-03-05,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.19,4.22,2019-03-06,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.17,4.19,2019-03-07,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.16,4.15,2019-03-08,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
00300910,4.19,4.17,2019-03-11,FAX,ABRDN ASIA PACIFIC INCOME FD INC,6722.0,400.0
