cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
31428X10,163.19,158.52,2019-01-02,FDX,FEDEX CORP,4513.0,428.0
31428X10,157.19,161.78999,2019-01-03,FDX,FEDEX CORP,4513.0,428.0
31428X10,164.42999,160.2,2019-01-04,FDX,FEDEX CORP,4513.0,428.0
31428X10,166.73,164.89,2019-01-07,FDX,FEDEX CORP,4513.0,428.0
31428X10,167.02,168.7,2019-01-08,FDX,FEDEX CORP,4513.0,428.0
31428X10,170.59,167.64999,2019-01-09,FDX,FEDEX CORP,4513.0,428.0
31428X10,170.12,169.07001,2019-01-10,FDX,FEDEX CORP,4513.0,428.0
31428X10,170.99001,169.49001,2019-01-11,FDX,FEDEX CORP,4513.0,428.0
31428X10,171.55,169.87,2019-01-14,FDX,FEDEX CORP,4513.0,428.0
31428X10,170.63,171.47,2019-01-15,FDX,FEDEX CORP,4513.0,428.0
31428X10,171.36,171.19,2019-01-16,FDX,FEDEX CORP,4513.0,428.0
31428X10,173.27,170.96001,2019-01-17,FDX,FEDEX CORP,4513.0,428.0
31428X10,176.91,175.17999,2019-01-18,FDX,FEDEX CORP,4513.0,428.0
31428X10,175.89999,176.31,2019-01-22,FDX,FEDEX CORP,4513.0,428.0
31428X10,173.67999,176.84,2019-01-23,FDX,FEDEX CORP,4513.0,428.0
31428X10,174.10001,173.37,2019-01-24,FDX,FEDEX CORP,4513.0,428.0
31428X10,175.36,175.89,2019-01-25,FDX,FEDEX CORP,4513.0,428.0
31428X10,173.96001,173.5,2019-01-28,FDX,FEDEX CORP,4513.0,428.0
31428X10,173.58,174.0,2019-01-29,FDX,FEDEX CORP,4513.0,428.0
31428X10,177.47,175.12,2019-01-30,FDX,FEDEX CORP,4513.0,428.0
31428X10,177.57001,178.71001,2019-01-31,FDX,FEDEX CORP,4513.0,428.0
31428X10,179.31,178.3,2019-02-01,FDX,FEDEX CORP,4513.0,428.0
31428X10,182.73,179.19,2019-02-04,FDX,FEDEX CORP,4513.0,428.0
31428X10,183.73,183.0,2019-02-05,FDX,FEDEX CORP,4513.0,428.0
31428X10,183.81,183.39,2019-02-06,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.37,182.77,2019-02-07,FDX,FEDEX CORP,4513.0,428.0
31428X10,177.24001,180.03999,2019-02-08,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.09,177.8,2019-02-11,FDX,FEDEX CORP,4513.0,428.0
31428X10,185.45,182.63,2019-02-12,FDX,FEDEX CORP,4513.0,428.0
31428X10,185.62,186.10001,2019-02-13,FDX,FEDEX CORP,4513.0,428.0
31428X10,183.92,184.53999,2019-02-14,FDX,FEDEX CORP,4513.0,428.0
31428X10,179.3,179.0,2019-02-15,FDX,FEDEX CORP,4513.0,428.0
31428X10,180.25,179.16,2019-02-19,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.91,180.98,2019-02-20,FDX,FEDEX CORP,4513.0,428.0
31428X10,182.28,181.78,2019-02-21,FDX,FEDEX CORP,4513.0,428.0
31428X10,180.49001,182.07001,2019-02-22,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.07001,181.94,2019-02-25,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.71001,180.83,2019-02-26,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.81,181.07001,2019-02-27,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.0,181.46001,2019-02-28,FDX,FEDEX CORP,4513.0,428.0
31428X10,182.8,182.02,2019-03-01,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.14,184.07001,2019-03-04,FDX,FEDEX CORP,4513.0,428.0
31428X10,180.00999,180.44,2019-03-05,FDX,FEDEX CORP,4513.0,428.0
31428X10,178.17999,180.59,2019-03-06,FDX,FEDEX CORP,4513.0,428.0
31428X10,172.86,176.2,2019-03-07,FDX,FEDEX CORP,4513.0,428.0
31428X10,171.78,169.85001,2019-03-08,FDX,FEDEX CORP,4513.0,428.0
31428X10,176.45,172.09,2019-03-11,FDX,FEDEX CORP,4513.0,428.0
31428X10,177.17,177.0,2019-03-12,FDX,FEDEX CORP,4513.0,428.0
31428X10,179.53,178.28,2019-03-13,FDX,FEDEX CORP,4513.0,428.0
31428X10,179.08,179.24001,2019-03-14,FDX,FEDEX CORP,4513.0,428.0
31428X10,177.98,179.48,2019-03-15,FDX,FEDEX CORP,4513.0,428.0
31428X10,182.39999,178.13,2019-03-18,FDX,FEDEX CORP,4513.0,428.0
31428X10,181.41,183.82001,2019-03-19,FDX,FEDEX CORP,4513.0,428.0
31428X10,175.07001,172.75,2019-03-20,FDX,FEDEX CORP,4513.0,428.0
31428X10,178.99001,174.45,2019-03-21,FDX,FEDEX CORP,4513.0,428.0
31428X10,173.99001,177.55,2019-03-22,FDX,FEDEX CORP,4513.0,428.0
