cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
33734G10,21.08,21.33,2019-01-02,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,21.2352,21.09,2019-01-03,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,21.4976,21.32,2019-01-04,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,21.69,21.51,2019-01-07,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.19,21.86,2019-01-08,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.1568,22.25,2019-01-09,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.4506,22.1661,2019-01-10,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.5105,22.41,2019-01-11,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.42,22.503,2019-01-14,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.64,22.47,2019-01-15,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.83,22.71,2019-01-16,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.9024,22.78,2019-01-17,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,23.01,22.98,2019-01-18,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.95,23.0,2019-01-22,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.9299,22.99,2019-01-23,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,22.98,22.9,2019-01-24,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,23.2608,23.06,2019-01-25,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,23.53,23.18,2019-01-28,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,23.7376,23.51,2019-01-29,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,23.9309,23.74,2019-01-30,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.17,23.91,2019-01-31,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,23.9796,24.22,2019-02-01,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.2,23.95,2019-02-04,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.31,24.28,2019-02-05,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.1737,24.35,2019-02-06,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.4329,24.107,2019-02-07,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.3943,24.35,2019-02-08,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.51,24.38,2019-02-11,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.26,24.54,2019-02-12,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.41,24.22,2019-02-13,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.41,24.36,2019-02-14,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.5162,24.46,2019-02-15,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.56,24.51,2019-02-19,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.36,24.52,2019-02-20,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.43,24.3,2019-02-21,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.58,24.49,2019-02-22,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.42,24.61,2019-02-25,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.3252,24.59,2019-02-26,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.21,24.29,2019-02-27,FRI,FIRST TRUST E T F II,6726.0,202.0
33734G10,24.25,24.21,2019-02-28,FRI,FIRST TRUST E T F II,6726.0,202.0
