cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
66877110,18.94,18.45,2019-01-02,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,18.58,18.77,2019-01-03,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.36,18.87,2019-01-04,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.33,19.39,2019-01-07,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.58,19.48,2019-01-08,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.93,19.71,2019-01-09,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.07,19.78,2019-01-10,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.88,19.84,2019-01-11,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.32,19.75,2019-01-14,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.71,19.4,2019-01-15,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.74,19.77,2019-01-16,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.01,19.6,2019-01-17,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.11,20.17,2019-01-18,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.8,19.94,2019-01-22,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,19.78,19.84,2019-01-23,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.03,19.93,2019-01-24,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.38,20.21,2019-01-25,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.85,20.17,2019-01-28,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.42,20.67,2019-01-29,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,20.82,20.56,2019-01-30,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,21.02,20.81,2019-01-31,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.91,22.48,2019-02-01,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,23.02,23.25,2019-02-04,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.8,23.03,2019-02-05,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.9,22.84,2019-02-06,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.56,22.74,2019-02-07,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.66,22.36,2019-02-08,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.42,22.72,2019-02-11,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,23.41,22.69,2019-02-12,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,23.02,23.47,2019-02-13,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,23.06,22.98,2019-02-14,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,23.15,23.29,2019-02-15,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.99,23.08,2019-02-19,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.47,22.91,2019-02-20,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.34,22.36,2019-02-21,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.67,22.54,2019-02-22,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.64,22.81,2019-02-25,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.79,22.6,2019-02-26,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.65,22.65,2019-02-27,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.49,22.64,2019-02-28,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.53,22.61,2019-03-01,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.09,22.59,2019-03-04,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.14,22.04,2019-03-05,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,21.97,22.15,2019-03-06,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,21.89,21.9,2019-03-07,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,21.95,21.63,2019-03-08,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.38,21.98,2019-03-11,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.46,22.36,2019-03-12,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.95,22.49,2019-03-13,GEN,GEN DIGITAL INC,7372.0,270.0
66877110,22.93,22.54,2019-03-14,GEN,GEN DIGITAL INC,7372.0,270.0
