cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
G4095J10,9.64,8.58,2019-01-02,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.58,9.57,2019-01-03,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.61,9.66,2019-01-04,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.5,9.5,2019-01-07,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.6,9.55,2019-01-08,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.51,9.64,2019-01-09,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.63,9.51,2019-01-10,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.85,9.57,2019-01-11,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.73,9.83,2019-01-14,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.7,9.72,2019-01-15,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.69,9.7,2019-01-16,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.99,9.62,2019-01-17,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.18,10.01,2019-01-18,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.82,10.06,2019-01-22,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,9.97,9.83,2019-01-23,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.05,9.93,2019-01-24,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.18,10.11,2019-01-25,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.2,10.13,2019-01-28,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.08,10.24,2019-01-29,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.4,10.08,2019-01-30,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.37,10.23,2019-01-31,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.72,10.51,2019-02-01,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.76,10.83,2019-02-04,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.8,10.89,2019-02-05,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.88,10.79,2019-02-06,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.91,10.87,2019-02-07,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.84,10.81,2019-02-08,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.04,10.87,2019-02-11,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.01,11.04,2019-02-12,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.36,11.09,2019-02-13,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.25,11.25,2019-02-14,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.38,11.3,2019-02-15,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.46,11.4,2019-02-19,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.7,11.47,2019-02-20,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.59,11.68,2019-02-21,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.62,11.66,2019-02-22,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.6,11.65,2019-02-25,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.68,11.61,2019-02-26,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.54,11.63,2019-02-27,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.19,10.63,2019-02-28,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.42,11.25,2019-03-01,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.26,11.42,2019-03-04,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.29,11.29,2019-03-05,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.05,11.25,2019-03-06,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.7,11.03,2019-03-07,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.63,10.63,2019-03-08,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.84,10.69,2019-03-11,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.97,10.88,2019-03-12,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.91,11.04,2019-03-13,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.84,10.89,2019-03-14,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.94,10.83,2019-03-15,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.18,10.95,2019-03-18,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.22,11.23,2019-03-19,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.94,11.16,2019-03-20,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.86,10.89,2019-03-21,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.64,10.8,2019-03-22,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.92,10.64,2019-03-25,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.1,11.01,2019-03-26,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.05,11.1,2019-03-27,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.21,11.04,2019-03-28,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.87,10.91,2019-03-29,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.02,10.96,2019-04-01,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.03,11.03,2019-04-02,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.94,11.05,2019-04-03,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.14,11.02,2019-04-04,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.14,11.17,2019-04-05,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.21,11.05,2019-04-08,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.82,11.12,2019-04-09,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.88,10.83,2019-04-10,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.88,10.87,2019-04-11,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.93,10.96,2019-04-12,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.94,10.94,2019-04-15,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.04,11.03,2019-04-16,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.04,11.06,2019-04-17,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.86,11.02,2019-04-18,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.83,10.81,2019-04-22,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.98,10.86,2019-04-23,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.11,10.99,2019-04-24,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,10.99,11.11,2019-04-25,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.96,10.99,2019-04-26,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,12.37,11.97,2019-04-29,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.98,12.34,2019-04-30,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.95,12.0,2019-05-01,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,11.78,11.95,2019-05-02,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
G4095J10,12.02,11.63,2019-05-03,GLRE,GREENLIGHT CAPITAL RE LTD,6331.0,147.0
