cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
78463X87,27.98,27.65,2019-01-02,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,27.72,27.9,2019-01-03,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,28.57,28.13,2019-01-04,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,28.7,28.57,2019-01-07,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,28.91,28.91,2019-01-08,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.2,29.04,2019-01-09,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.23,29.03,2019-01-10,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,28.99,29.05,2019-01-11,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,28.87,28.78,2019-01-14,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.04,28.98,2019-01-15,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.15,29.06,2019-01-16,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.16,28.93,2019-01-17,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.42,29.4,2019-01-18,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,28.96,29.11,2019-01-22,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.11,29.13,2019-01-23,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.24,29.16,2019-01-24,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.62,29.51,2019-01-25,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.49,29.46,2019-01-28,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.53,29.6,2019-01-29,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.87,29.62,2019-01-30,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.85,29.86,2019-01-31,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.77,29.79,2019-02-01,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.96,29.78,2019-02-04,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.11,30.12,2019-02-05,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.88,30.09,2019-02-06,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.51,29.67,2019-02-07,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.39,29.32,2019-02-08,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.38,29.45,2019-02-11,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.73,29.65,2019-02-12,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.87,29.95,2019-02-13,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.8,29.8,2019-02-14,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.17,30.05,2019-02-15,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.41,30.19,2019-02-19,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.41,30.39,2019-02-20,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.37,30.35,2019-02-21,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.52,30.48,2019-02-22,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.63,30.67,2019-02-25,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.76,30.65,2019-02-26,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.73,30.78,2019-02-27,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.47,30.63,2019-02-28,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.6,30.68,2019-03-01,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.63,30.8,2019-03-04,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.6,30.61,2019-03-05,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.44,30.62,2019-03-06,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.0,30.22,2019-03-07,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,29.86,29.72,2019-03-08,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.15,29.88,2019-03-11,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.2,30.16,2019-03-12,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.44,30.28,2019-03-13,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
78463X87,30.22,30.31,2019-03-14,GWX,SPDR INDEX SHARES FUNDS,6726.0,204.0
