cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
40424G10,19.79,19.46,2019-01-02,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.4301,19.4301,2019-01-03,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.05,19.11,2019-01-04,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.76,19.76,2019-01-07,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.98,19.98,2019-01-08,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.1,20.1,2019-01-09,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.68,19.7,2019-01-10,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.5546,19.5546,2019-01-11,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,-19.68,,2019-01-14,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.1,19.7,2019-01-15,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.1,19.98,2019-01-16,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.72,19.97,2019-01-17,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.51,20.19,2019-01-18,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.33,19.5,2019-01-22,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.3563,19.303,2019-01-23,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.38,19.38,2019-01-24,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.55,19.5,2019-01-25,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.2625,19.2625,2019-01-28,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.7012,19.94,2019-01-29,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.17,19.94,2019-01-30,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.89,19.85,2019-01-31,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.25,19.89,2019-02-01,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.1949,20.25,2019-02-04,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.72,19.91,2019-02-05,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,-19.98,,2019-02-06,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,-19.98,,2019-02-07,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.55,19.55,2019-02-08,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.02,20.0,2019-02-11,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.02,20.02,2019-02-12,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.0,20.0,2019-02-13,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,19.65,19.9,2019-02-14,HMNF,H M N FINANCIAL INC,6030.0,236.0
40424G10,20.25,19.64,2019-02-15,HMNF,H M N FINANCIAL INC,6030.0,236.0
