cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428858,104.84,104.78,2019-01-02,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.23,104.85,2019-01-03,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.91,105.06,2019-01-04,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.78,104.99,2019-01-07,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.7,104.71,2019-01-08,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.64,104.64,2019-01-09,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.56,104.66,2019-01-10,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.79,104.72,2019-01-11,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.83,104.9,2019-01-14,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.86,104.94,2019-01-15,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.81,104.8,2019-01-16,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.78,104.78,2019-01-17,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.63,104.68,2019-01-18,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.67,104.73,2019-01-22,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.6,104.58,2019-01-23,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.76,104.71,2019-01-24,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.71,104.73,2019-01-25,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.74,104.68,2019-01-28,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.95,104.83,2019-01-29,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.21,104.94,2019-01-30,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.49,105.33,2019-01-31,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.94,105.11,2019-02-01,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.82,104.8,2019-02-04,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.95,104.88,2019-02-05,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.99,105.02,2019-02-06,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.1,105.09,2019-02-07,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.17,105.14,2019-02-08,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.12,105.11,2019-02-11,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.08,105.1,2019-02-12,MBB,ISHARES TRUST,6726.0,591.0
46428858,104.95,104.97,2019-02-13,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.06,105.08,2019-02-14,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.08,105.05,2019-02-15,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.2,105.13,2019-02-19,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.24,105.27,2019-02-20,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.13,105.16,2019-02-21,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.25,105.15,2019-02-22,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.24,105.21,2019-02-25,MBB,ISHARES TRUST,6726.0,591.0
46428858,105.33,105.31,2019-02-26,MBB,ISHARES TRUST,6726.0,591.0
