cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
63633D10,74.05,75.01,2019-01-02,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,75.73,74.14,2019-01-03,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,76.25,76.07,2019-01-04,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,76.91,76.39,2019-01-07,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.24,76.91,2019-01-08,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,77.7,78.55,2019-01-09,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.01,77.64,2019-01-10,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.52,78.17,2019-01-11,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,77.12,78.46,2019-01-14,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,77.73,77.37,2019-01-15,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.6,77.82,2019-01-16,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.8,78.37,2019-01-17,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.99,79.0,2019-01-18,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,78.89,79.05,2019-01-22,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,79.46,78.82,2019-01-23,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,79.61,79.62,2019-01-24,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,80.21,79.67,2019-01-25,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,80.57,80.04,2019-01-28,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,81.23,80.82,2019-01-29,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,81.79,81.22,2019-01-30,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,83.26,81.81,2019-01-31,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,81.72,83.43,2019-02-01,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,82.64,81.57,2019-02-04,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,82.6,82.66,2019-02-05,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,82.57,82.69,2019-02-06,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,83.81,82.42,2019-02-07,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,83.41,83.64,2019-02-08,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
63633D10,83.41,83.42,2019-02-11,NHI,NATIONAL HEALTH INVESTORS INC,6798.0,376.0
