cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46138E51,13.61,13.42,2019-01-02,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.67,13.61,2019-01-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.86,13.7,2019-01-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.88,13.85,2019-01-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.89,13.93,2019-01-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.89,13.94,2019-01-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.89,13.89,2019-01-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.94,13.9,2019-01-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.97,13.94,2019-01-14,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.99,13.96,2019-01-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.93,14.0,2019-01-16,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.96,13.91,2019-01-17,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.99,13.97,2019-01-18,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.93,13.95,2019-01-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.93,13.94,2019-01-23,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,13.99,13.94,2019-01-24,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.04,13.99,2019-01-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.06,14.02,2019-01-28,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.08,14.09,2019-01-29,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.19,14.1,2019-01-30,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.22,14.19,2019-01-31,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.22,14.24,2019-02-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.22,14.23,2019-02-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.22,14.22,2019-02-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.22,14.24,2019-02-06,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.14,14.2,2019-02-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.2,14.14,2019-02-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.17,14.21,2019-02-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.28,14.19,2019-02-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.29,14.29,2019-02-13,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.31,14.28,2019-02-14,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.39,14.33,2019-02-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.3,14.31,2019-02-19,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.33,14.31,2019-02-20,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.3,14.31,2019-02-21,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.31,14.32,2019-02-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.31,14.32,2019-02-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.29,14.31,2019-02-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.31,14.29,2019-02-27,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.36,14.32,2019-02-28,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.43,14.39,2019-03-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.45,14.47,2019-03-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.45,14.45,2019-03-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.49,14.49,2019-03-06,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.48,14.49,2019-03-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.46,14.42,2019-03-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.45,14.46,2019-03-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.48,14.43,2019-03-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.5,14.47,2019-03-13,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.54,14.52,2019-03-14,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.55,14.55,2019-03-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.48,14.49,2019-03-18,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.44,14.48,2019-03-19,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.42,14.4,2019-03-20,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.46,14.43,2019-03-21,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.39,14.45,2019-03-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.37,14.42,2019-03-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.4,14.41,2019-03-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.41,14.42,2019-03-27,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.44,14.42,2019-03-28,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.5,14.46,2019-03-29,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.59,14.53,2019-04-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.57,14.58,2019-04-02,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.59,14.58,2019-04-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.59,14.58,2019-04-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.63,14.6,2019-04-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.59,14.61,2019-04-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.53,14.58,2019-04-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.53,2019-04-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.57,14.58,2019-04-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.58,14.57,2019-04-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.6,14.58,2019-04-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.62,14.61,2019-04-16,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.6,14.64,2019-04-17,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.59,14.6,2019-04-18,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.53,14.54,2019-04-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.55,14.52,2019-04-23,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.55,14.55,2019-04-24,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.52,14.55,2019-04-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.49,14.53,2019-04-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.55,14.5,2019-04-29,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.52,14.55,2019-04-30,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.55,2019-05-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.54,14.56,2019-05-02,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.53,14.55,2019-05-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.55,14.5,2019-05-06,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.51,14.54,2019-05-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.53,14.51,2019-05-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.54,14.52,2019-05-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.53,2019-05-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.51,14.5,2019-05-13,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.51,2019-05-14,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.62,14.55,2019-05-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.64,14.64,2019-05-16,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.63,14.64,2019-05-17,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.49,14.55,2019-05-20,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.54,14.5,2019-05-21,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.55,14.53,2019-05-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.53,14.54,2019-05-23,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.57,14.54,2019-05-24,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.57,2019-05-28,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.55,2019-05-29,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.6,14.55,2019-05-30,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.57,14.59,2019-05-31,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.56,14.56,2019-06-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.63,14.58,2019-06-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.63,14.63,2019-06-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.6,14.61,2019-06-06,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.65,14.62,2019-06-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.66,14.66,2019-06-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.65,14.69,2019-06-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.63,14.65,2019-06-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.65,14.65,2019-06-13,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.67,14.65,2019-06-14,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.71,14.67,2019-06-17,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.74,14.74,2019-06-18,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.72,14.74,2019-06-19,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.76,14.76,2019-06-20,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.72,14.75,2019-06-21,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.66,14.67,2019-06-24,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.64,14.67,2019-06-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.65,14.65,2019-06-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.64,14.65,2019-06-27,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.63,14.65,2019-06-28,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.62,14.64,2019-07-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.68,14.62,2019-07-02,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.73,14.71,2019-07-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.68,14.715,2019-07-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.69,14.69,2019-07-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.7,14.69,2019-07-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.74,14.71,2019-07-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.75,14.75,2019-07-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.76,14.76,2019-07-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.78,14.77,2019-07-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.79,14.78,2019-07-16,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.85,14.79,2019-07-17,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.87,14.85,2019-07-18,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.87,14.88,2019-07-19,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.81,14.82,2019-07-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.83,14.83,2019-07-23,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.88,14.83,2019-07-24,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.84,14.89,2019-07-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.85,14.85,2019-07-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.91,14.85,2019-07-29,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.89,14.88,2019-07-30,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.91,14.89,2019-07-31,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.92,14.9,2019-08-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.92,14.9,2019-08-02,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.79,14.9,2019-08-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.85,14.82,2019-08-06,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.78,14.82,2019-08-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.82,14.81,2019-08-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.85,14.82,2019-08-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.86,14.87,2019-08-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.92,14.87,2019-08-13,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.95,14.88,2019-08-14,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,15.0,14.96,2019-08-15,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,15.01,2019-08-16,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.91,14.93,2019-08-19,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.94,14.92,2019-08-20,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,14.96,2019-08-21,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,14.97,2019-08-22,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.94,14.99,2019-08-23,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.92,14.98,2019-08-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.94,14.93,2019-08-27,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.98,14.95,2019-08-28,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,15.01,2019-08-29,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,14.99,2019-08-30,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.96,2019-09-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.99,14.98,2019-09-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,15.03,15.01,2019-09-05,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,15.02,15.03,2019-09-06,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,15.0,15.03,2019-09-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.95,15.01,2019-09-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.91,14.96,2019-09-11,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.95,14.94,2019-09-12,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.78,14.96,2019-09-13,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.83,14.8,2019-09-16,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.88,14.84,2019-09-17,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.93,14.9,2019-09-18,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.95,2019-09-19,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.99,14.97,2019-09-20,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.98,14.95,2019-09-23,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,15.0,2019-09-24,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.97,2019-09-25,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.98,2019-09-26,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.97,2019-09-27,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,15.02,14.98,2019-09-30,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.99,14.99,2019-10-01,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.98,14.99,2019-10-02,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.98,2019-10-03,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,14.99,2019-10-04,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.98,14.98,2019-10-07,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.96,14.97,2019-10-08,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.97,14.99,2019-10-09,PGX,INVESCO E T F TRUST II,6726.0,194.0
46138E51,14.99,14.97,2019-10-10,PGX,INVESCO E T F TRUST II,6726.0,194.0
