cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46137V79,28.3,29.1,2019-01-02,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,28.38,28.44,2019-01-03,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,28.76,28.49,2019-01-04,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,28.64,28.83,2019-01-07,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.16,28.66,2019-01-08,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,28.89,29.21,2019-01-09,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.34,28.85,2019-01-10,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.21,29.21,2019-01-11,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,28.82,29.21,2019-01-14,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.16,28.85,2019-01-15,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.44,29.21,2019-01-16,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.68,29.4,2019-01-17,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.73,29.73,2019-01-18,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.79,29.82,2019-01-22,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.08,29.87,2019-01-23,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.3,30.16,2019-01-24,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.88,30.37,2019-01-25,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.65,29.83,2019-01-28,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.77,29.72,2019-01-29,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,29.92,29.71,2019-01-30,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.7,29.93,2019-01-31,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.3999,30.6,2019-02-01,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.46,30.42,2019-02-04,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.45,30.34,2019-02-05,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.25,30.41,2019-02-06,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.64,30.19,2019-02-07,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.83,30.61,2019-02-08,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.77,30.76,2019-02-11,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.79,30.8,2019-02-12,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.7,30.75,2019-02-13,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.771,30.75,2019-02-14,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,30.94,30.83,2019-02-15,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.11,30.98,2019-02-19,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.15,31.12,2019-02-20,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.407,31.04,2019-02-21,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.67,31.45,2019-02-22,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.37,31.72,2019-02-25,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.29,31.43,2019-02-26,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.36,31.3,2019-02-27,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.43,31.4,2019-02-28,PUI,INVESCO E T F TRUST,6726.0,408.0
46137V79,31.55,31.52,2019-03-01,PUI,INVESCO E T F TRUST,6726.0,408.0
