cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
78464A84,29.43,29.31,2019-01-02,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,28.93,29.42,2019-01-03,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,29.9,29.32,2019-01-04,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,30.24,29.94,2019-01-07,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,30.74,30.49,2019-01-08,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.02,30.81,2019-01-09,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.23,30.95,2019-01-10,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.28,31.19,2019-01-11,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.08,31.11,2019-01-14,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.26,31.13,2019-01-15,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.46,31.26,2019-01-16,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.77,31.39,2019-01-17,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.2,32.0,2019-01-18,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.68,32.04,2019-01-22,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.63,31.79,2019-01-23,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,31.83,31.66,2019-01-24,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.18,31.99,2019-01-25,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.08,32.05,2019-01-28,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.1,32.09,2019-01-29,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.35,32.18,2019-01-30,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.54,32.34,2019-01-31,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.56,32.56,2019-02-01,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.91,32.6,2019-02-04,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.01,32.86,2019-02-05,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.97,33.07,2019-02-06,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.78,32.84,2019-02-07,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.73,32.6,2019-02-08,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.0,32.88,2019-02-11,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.35,33.16,2019-02-12,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.52,33.47,2019-02-13,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.53,33.37,2019-02-14,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.97,33.72,2019-02-15,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.03,33.82,2019-02-19,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.24,34.0,2019-02-20,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.11,34.23,2019-02-21,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.33,34.17,2019-02-22,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.32,34.48,2019-02-25,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.99,34.24,2019-02-26,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.02,33.9,2019-02-27,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.92,34.01,2019-02-28,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.14,34.15,2019-03-01,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.94,34.22,2019-03-04,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.78,33.92,2019-03-05,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.27,33.75,2019-03-06,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.95,33.21,2019-03-07,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.88,32.78,2019-03-08,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.37,33.0,2019-03-11,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.39,33.39,2019-03-12,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.53,33.51,2019-03-13,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.45,33.53,2019-03-14,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.48,33.53,2019-03-15,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.63,33.42,2019-03-18,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.41,33.72,2019-03-19,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.16,33.41,2019-03-20,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.6,33.01,2019-03-21,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.56,33.41,2019-03-22,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.66,32.51,2019-03-25,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.95,32.83,2019-03-26,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,32.95,32.96,2019-03-27,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.24,33.05,2019-03-28,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.33,33.44,2019-03-29,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.78,33.56,2019-04-01,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.6,33.74,2019-04-02,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.79,33.86,2019-04-03,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.97,33.83,2019-04-04,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.27,34.04,2019-04-05,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.26,34.22,2019-04-08,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.86,34.14,2019-04-09,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.24,33.93,2019-04-10,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.29,34.29,2019-04-11,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.52,34.48,2019-04-12,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.44,34.52,2019-04-15,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.5,34.53,2019-04-16,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.25,34.56,2019-04-17,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.29,34.31,2019-04-18,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.15,34.22,2019-04-22,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.57,34.19,2019-04-23,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.72,34.6,2019-04-24,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.33,34.58,2019-04-25,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.62,34.31,2019-04-26,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.71,34.63,2019-04-29,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.62,34.66,2019-04-30,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.27,34.69,2019-05-01,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.34,34.24,2019-05-02,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.91,34.48,2019-05-03,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.89,34.34,2019-05-06,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.22,34.6,2019-05-07,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.04,34.11,2019-05-08,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,33.99,33.81,2019-05-09,SPMD,SPDR SERIES TRUST,6726.0,223.0
78464A84,34.09,33.88,2019-05-10,SPMD,SPDR SERIES TRUST,6726.0,223.0
